trial,Time,optoblocksize,lOOKS LIKE,good or bad,notes
1,,,,BAD,
2,159.3638,1cm,2,,
3,184.8581,4cm,4,,
4,212.985,2cm,2,,
5,252.3261,1cm,,BAD,
6,262.2739,2cm,2,,
7,271.5884,4cm,4,!,80
8,282.4859,4cm,4,!,80
9,290.7815,2cm,2,,
10,299.2308,1cm,1,,
11,329.9085,1cm,1,,
12,337.7234,2cm,2,,
13,345.5883,1cm,1,,
14,354.0031,2cm,2,,
15,362.6844,4cm,4,,
16,370.516,4cm,4,,
17,378.3642,2cm,2,,
18,387.2455,4cm,4,,
19,397.0933,2cm,2,,
20,405.8746,2cm,2,,
21,415.3058,1cm,1,,
22,423.6706,4cm,4,,
23,432.4186,4cm,4,,
24,441.2833,1cm,1,,
25,449.9813,1cm,1,,
26,458.9293,2cm,2,,
27,520.5153,2cm,2,,
28,,,,BAD,
29,637.1556,1cm,1,,
30,649.4028,2cm,2,,
31,661.7666,4cm,,BAD,
32,675.1776,1cm,1,,
33,688.4273,4cm,4,,
34,702.9573,2cm,2,,
35,713.7536,4cm,4,,
36,724.6857,4cm,4,,
37,735.2151,4cm,4,,
38,746.8474,2cm,2,,
39,757.245,1cm,1,,
40,767.8759,1cm,1,,
41,777.9736,1cm,1,,
42,789.4043,2cm,2,,
43,800.4352,1cm,,BAD,
44,813.099,4cm,4,,
45,823.6466,2cm,2,,
46,835.6772,4cm,4,,
47,846.4581,2cm,2,,
48,857.0057,2cm,2,,
49,868.7197,1cm,1,,
50,881.4835,4cm,4,,
51,892.5143,1cm,1,,
52,903.9617,1cm,1,,
53,916.2564,4cm,4,,
54,1356.8758,1cm,1,,
55,1368.9897,4cm,4,,
56,1379.8706,1cm,1,,
57,1390.6015,1cm,1,,
58,1401.5323,4cm,4,,
59,1412.6131,2cm,2,,
60,1423.0441,4cm,4,,
61,1434.2582,4cm,4,,
62,1444.7892,2cm,2,,
63,1454.537,1cm,1,,
64,1464.8513,2cm,2,,
65,1474.5324,4cm,4,,
66,1484.6301,4cm,4,,
67,1494.9111,2cm,2,,
68,1504.8589,1cm,1,,
69,1515.1566,1cm,1,,
70,1524.7044,4cm,4,,
71,1534.6521,1cm,1,,
72,1544.9831,4cm,4,,
73,1554.9809,1cm,1,,
74,1564.1788,2cm,2,,
75,1573.56,2cm,2,,
76,1583.641,2cm,2,,
77,1593.8554,2cm,2,,
78,1603.467,2cm,2,,
79,1613.4009,2cm,2,,
80,1670.9046,1cm,1,,
81,1679.0194,2cm,2,,
82,1701.3977,4cm,4,,
83,1710.179,4cm,4,,
84,1717.8273,2cm,2,,
85,1726.2587,4cm,1,,
86,1734.0736,1cm,4,,
87,1743.3715,1cm,1,,
88,1751.1364,1cm,1,,
89,1758.2348,2cm,2,,
90,1766.083,4cm,4,,
91,1774.2145,4cm,4,,
92,1782.2127,2cm,2,,
93,1790.3941,2cm,2,,
94,1798.459,4cm,4,,
95,1807.0571,1cm,1,,
96,1815.5052,4cm,4,,
97,1823.42,2cm,2,,
98,1830.885,2cm,2,,
99,1837.5501,2cm,2,,
100,1845.0818,1cm,1,,
101,1852.8634,1cm,1,,
102,1860.545,1cm,1,,
103,1869.2241,4cm,4,,
104,1877.2578,1cm,1,,
105,,,,BAD,
106,,,,BAD,
