"translation","V1","V2","TimeSec","TimeAbsolute"
"0",9101,43756,43.756,0
"0",9101,50271.3,50.2713,0
"0",9102,59769.2,59.7692,0
"0",9103,68282.9,68.2829,0
"0",9104,77698.7,77.6987,0
"0",9105,86546.7,86.5467,0
"0",9106,95611.4,95.6114,0
"0",9107,103893,103.893,0
"0",9108,112424.4,112.4244,0
"0",9109,121634.6,121.6346,0
"0",9110,130087.3,130.0873,0
"0",9111,138785.4,138.7854,0
"0",9112,147333.5,147.3335,0
"0",9113,156181.6,156.1816,0
"0",9114,164513.1,164.5131,0
"0",9115,173161.2,173.1612,0
"0",9116,181976,181.976,0
"0",9117,193690.1,193.6901,0
"0",9118,203654.6,203.6546,0
"0",9119,215202.1,215.2021,0
"0",9120,223950.1,223.9501,0
"0",9121,232764.9,232.7649,0
"0",9122,248494.8,248.4948,0
"0",9123,257576.2,257.5762,0
"0",9124,265607.7,265.6077,0
"0",9125,274722.4,274.7224,0
