"translation","V1","V2","TimeSec","TimeAbsolute"
"0",9201,68817.3,68.8173,0
"0",9202,82580.9,82.5809,0
"0",9203,93560.5,93.5605,0
"0",9203,109741.7,109.7417,0
"0",9203,114174.1,114.1741,0
"0",9203,115523.8,115.5238,0
"0",9203,116603,116.603,0
"0",9203,143562.8,143.5628,0
"0",9204,155661.6,155.6616,0
"0",9205,167929,167.929,0
"0",9206,182186.2,182.1862,0
"0",9207,204287.8,204.2878,0
"0",9208,229998.9,229.9989,0
"0",9209,247445.1,247.4451,0
"0",9210,261242.1,261.2421,0
"0",9210,369580.9,369.5809,0
"0",9210,387929.8,387.9298,0
"0",9211,412425.8,412.4258,0
"0",9212,424856.4,424.8564,0
"0",9213,439436.5,439.4365,0
"0",9214,455299.8,455.2998,0
"0",9215,470579.8,470.5798,0
"0",9216,489159.1,489.1591,0
"0",9217,519802.4,519.8024,0
"0",9218,534615.8,534.6158,0
"0",9219,548479.5,548.4795,0
"0",9219,567108.8,567.1088,0
"0",9220,585771.4,585.7714,0
"0",9221,597462.9,597.4629,0
"0",9222,611415.8,611.4158,0
"0",9223,623013.3,623.0133,0
"0",9224,635377.2,635.3772,0
"0",9225,646953.4,646.9534,0
"0",9226,659138.7,659.1387,0
"0",9227,670919.5,670.9195,0
"0",9227,672835.7,672.8357,0
"0",9227,687482.5,687.4825,0
"0",9228,702244.5,702.2445,0
"0",9228,719358.9,719.3589,0
"0",9228,721308.5,721.3085,0
"0",9228,722291.6,722.2916,0
"0",9228,727857.1,727.8571,0
"0",9228,728990.2,728.9902,0
"0",9228,730389.9,730.3899,0
"0",9228,730839.8,730.8398,0
"0",9229,740071.1,740.0711,0
"0",9230,752768.3,752.7683,0
"0",9231,764415.8,764.4158,0
"0",9232,776746.4,776.7464,0
"0",9233,788424.7,788.4247,0
"0",9234,801224.4,801.2244,0
"0",9235,813521.8,813.5218,0
"0",9236,824736,824.736,0
"0",9237,837516.5,837.5165,0
