"translation","V1","V2","TimeSec","TimeAbsolute"
"0",8071,2935694,2935.694,0
"0",8072,2960288.6,2960.2886,0
"0",8073,2987499.3,2987.4993,0
"0",8074,2996197.4,2996.1974,0
"0",8075,3007345,3007.345,0
"0",8076,3022841.6,3022.8416,0
"0",8077,3031856.3,3031.8563,0
"0",8078,3040537.8,3040.5378,0
"0",8079,3049002.6,3049.0026,0
"0",8080,3058717.2,3058.7172,0
"0",8081,3067215.3,3067.2153,0
"0",8082,3075760.7,3075.7607,0
"0",8083,3085394.7,3085.3947,0
"0",8084,3116304.6,3116.3046,0
"0",8085,3129885,3129.885,0
"0",8086,3138597.6,3138.5976,0
"0",8087,3147331.2,3147.3312,0
"0",8088,3161511.4,3161.5114,0
"0",8089,3172125.8,3172.1258,0
"0",8090,3190205.2,3190.2052,0
"0",8091,3199536.5,3199.5365,0
"0",8092,3213583.4,3213.5834,0
"0",8093,3225664.1,3225.6641,0
"0",8094,3243893.5,3243.8935,0
"0",8095,3252558.3,3252.5583,0
"0",8096,3261473,3261.473,0
