translation,V1,V2,TimeSec,TimeAbsolute
0,0,0,0,0
0,140517,0.7,7.00E-04,0
0,104416,0.7,7.00E-04,0
0,343,0.7,7.00E-04,0
0,500,1,0.001,0
0,206,2,0.002,0
0,10000,3,0.003,0
0,18000,4,0.004,0
LH Block Start,10,33.2,0.0332,0
Hidden Block Start,13,34.2,0.0342,0
0,94,34.2,0.0342,0
0,9101,43756,43.756,0
0,20,43757,43.757,0
0,40,43766.2,43.7662,0
ERROR: lifted during loading/checking,30,49572,49.572,0
0,94,34.2,0.0342,0
0,9101,50271.3,50.2713,0
0,20,50272.3,50.2723,0
0,40,54671.3,54.6713,0
move epoch: 2cm cube,62,55821.1,55.8211,0
0,8001,55821.1,55.8211,0
0,7,55802,55.802,0
trial finished okay,80,55803,55.803,0
experimenter confirmed,90,59636.9,59.6369,0
0,9102,59769.2,59.7692,0
0,20,59770.2,59.7702,0
0,70,63519.4,63.5194,0
0,40,63852.7,63.8527,0
move epoch: 3cm cube,63,64552.5,64.5525,0
0,8002,64552.5,64.5525,0
0,7,64536,64.536,0
trial finished okay,80,64537,64.537,0
experimenter denied,91,67801.8,67.8018,0
0,9103,68282.9,68.2829,0
0,20,68283.9,68.2839,0
0,40,73450.6,73.4506,0
move epoch: 2cm cube,62,74082.4,74.0824,0
0,8003,74082.4,74.0824,0
0,7,74073,74.073,0
trial finished okay,80,74074,74.074,0
experimenter confirmed,90,67801.8,67.8018,0
0,9104,77698.7,77.6987,0
0,20,77699.7,77.6997,0
0,40,82698.5,82.6985,0
move epoch: 3cm cube,63,83331.8,83.3318,0
0,8004,83331.8,83.3318,0
0,7,83313,83.313,0
trial finished okay,80,83314,83.314,0
experimenter confirmed,90,67801.8,67.8018,0
0,9105,86546.7,86.5467,0
0,20,86547.7,86.5477,0
0,70,90763.5,90.7635,0
0,40,91346.7,91.3467,0
move epoch: 2cm cube,62,91913.2,91.9132,0
0,8005,91913.2,91.9132,0
0,7,91888,91.888,0
trial finished okay,80,91889,91.889,0
experimenter confirmed,90,95412.5,95.4125,0
0,9106,95611.4,95.6114,0
0,20,95612.4,95.6124,0
0,70,99694.9,99.6949,0
0,40,99928.2,99.9282,0
move epoch: 2cm cube,62,100593.4,100.5934,0
0,8006,100593.4,100.5934,0
0,7,100586,100.586,0
trial finished okay,80,100587,100.587,0
experimenter confirmed,90,95412.5,95.4125,0
0,9107,103893,103.893,0
0,20,103894,103.894,0
0,70,108043.1,108.0431,0
0,40,108609.6,108.6096,0
move epoch: 2cm cube,62,109242.8,109.2428,0
0,8007,109242.8,109.2428,0
0,7,109229,109.229,0
trial finished okay,80,109230,109.23,0
experimenter confirmed,90,95412.5,95.4125,0
0,9108,112424.4,112.4244,0
0,20,112425.4,112.4254,0
0,70,116141.3,116.1413,0
0,40,117257.7,117.2577,0
move epoch: 1cm cube,61,117974.2,117.9742,0
0,8008,117974.2,117.9742,0
0,7,117952,117.952,0
trial finished okay,80,117953,117.953,0
experimenter confirmed,90,95412.5,95.4125,0
0,9109,121634.6,121.6346,0
0,20,121635.6,121.6356,0
0,40,126205.8,126.2058,0
move epoch: 3cm cube,63,126820.9,126.8209,0
0,8009,126820.9,126.8209,0
0,7,126813,126.813,0
trial finished okay,80,126814,126.814,0
experimenter confirmed,90,95412.5,95.4125,0
0,9110,130087.3,130.0873,0
0,20,130088.3,130.0883,0
0,70,134370.7,134.3707,0
0,40,134836.1,134.8361,0
move epoch: 2cm cube,62,135487.1,135.4871,0
0,8010,135487.1,135.4871,0
0,7,135467,135.467,0
trial finished okay,80,135468,135.468,0
experimenter confirmed,90,138636.4,138.6364,0
0,9111,138785.4,138.7854,0
0,20,138786.4,138.7864,0
0,70,142718.8,142.7188,0
0,40,143518.7,143.5187,0
move epoch: 1cm cube,61,144168.5,144.1685,0
0,8011,144168.5,144.1685,0
0,7,144153,144.153,0
trial finished okay,80,144154,144.154,0
experimenter confirmed,90,138636.4,138.6364,0
0,9112,147333.5,147.3335,0
0,20,147334.5,147.3345,0
0,70,151000.4,151.0004,0
0,40,152183.5,152.1835,0
move epoch: 3cm cube,63,152800,152.8,0
0,8012,152800,152.8,0
0,7,152786,152.786,0
trial finished okay,80,152787,152.787,0
experimenter confirmed,90,138636.4,138.6364,0
0,9113,156181.6,156.1816,0
0,20,156182.6,156.1826,0
0,70,160448.3,160.4483,0
0,40,160831.5,160.8315,0
move epoch: 3cm cube,63,161331.5,161.3315,0
0,8013,161331.5,161.3315,0
0,7,161319,161.319,0
trial finished okay,80,161320,161.32,0
experimenter confirmed,90,138636.4,138.6364,0
0,9114,164513.1,164.5131,0
0,20,164514.1,164.5141,0
0,70,168479.9,168.4799,0
0,40,169363,169.363,0
move epoch: 3cm cube,63,170046.2,170.0462,0
0,8014,170046.2,170.0462,0
0,7,170034,170.034,0
trial finished okay,80,170035,170.035,0
experimenter confirmed,90,138636.4,138.6364,0
0,9115,173161.2,173.1612,0
0,20,173162.2,173.1622,0
0,70,177128,177.128,0
0,40,178061.1,178.0611,0
move epoch: 1cm cube,61,178594.3,178.5943,0
0,8015,178594.3,178.5943,0
0,7,178572,178.572,0
trial finished okay,80,178573,178.573,0
experimenter confirmed,90,138636.4,138.6364,0
0,9116,181976,181.976,0
0,20,181977,181.977,0
0,40,189225.4,189.2254,0
move epoch: 1cm cube,61,189825.2,189.8252,0
0,8016,189825.2,189.8252,0
0,7,189810,189.81,0
trial finished okay,80,189811,189.811,0
experimenter confirmed,90,138636.4,138.6364,0
0,9117,193690.1,193.6901,0
0,20,193691.1,193.6911,0
0,40,199889.7,199.8897,0
move epoch: 1cm cube,61,200506.3,200.5063,0
0,8017,200506.3,200.5063,0
0,7,200487,200.487,0
trial finished okay,80,200488,200.488,0
experimenter confirmed,90,138636.4,138.6364,0
0,9118,203654.6,203.6546,0
0,20,203655.6,203.6556,0
0,40,210454.1,210.4541,0
move epoch: 3cm cube,63,211203.9,211.2039,0
0,8018,211203.9,211.2039,0
0,7,211188,211.188,0
trial finished okay,80,211189,211.189,0
experimenter confirmed,90,138636.4,138.6364,0
0,9119,215202.1,215.2021,0
0,20,215203.1,215.2031,0
0,40,219568.8,219.5688,0
move epoch: 1cm cube,61,220218.6,220.2186,0
0,8019,220218.6,220.2186,0
0,7,220204,220.204,0
trial finished okay,80,220205,220.205,0
experimenter confirmed,90,138636.4,138.6364,0
0,9120,223950.1,223.9501,0
0,20,223951.1,223.9511,0
0,40,228580.6,228.5806,0
move epoch: 2cm cube,62,229283.3,229.2833,0
0,8020,229283.3,229.2833,0
0,7,229257,229.257,0
trial finished okay,80,229258,229.258,0
experimenter confirmed,90,138636.4,138.6364,0
0,9121,232764.9,232.7649,0
0,20,232765.9,232.7659,0
0,40,245113.2,245.1132,0
move epoch: 3cm cube,63,245579.8,245.5798,0
0,8021,245579.8,245.5798,0
0,7,245558,245.558,0
trial finished okay,80,245559,245.559,0
experimenter confirmed,90,138636.4,138.6364,0
0,9122,248494.8,248.4948,0
0,20,248495.8,248.4958,0
0,70,252328.3,252.3283,0
0,40,253594.7,253.5947,0
move epoch: 1cm cube,61,254177.9,254.1779,0
0,8022,254177.9,254.1779,0
0,7,254155,254.155,0
trial finished okay,80,254156,254.156,0
experimenter confirmed,90,138636.4,138.6364,0
0,9123,257576.2,257.5762,0
0,20,257577.2,257.5772,0
0,70,261859.6,261.8596,0
0,40,262191.3,262.1913,0
move epoch: 2cm cube,62,262726,262.726,0
0,8023,262726,262.726,0
0,7,262707,262.707,0
trial finished okay,80,262708,262.708,0
experimenter confirmed,90,138636.4,138.6364,0
0,9124,265607.7,265.6077,0
0,20,265608.7,265.6087,0
0,70,269791.2,269.7912,0
0,40,270757.6,270.7576,0
move epoch: 1cm cube,61,271290.8,271.2908,0
0,8024,271290.8,271.2908,0
0,7,271266,271.266,0
trial finished okay,80,271267,271.267,0
0,190,271290.8,271.2908,0
0,94,34.2,0.0342,0
0,9125,274722.4,274.7224,0
0,20,274723.4,274.7234,0
0,40,279755.7,279.7557,0
move epoch: 2cm cube,62,280388.9,280.3889,0
0,8025,280388.9,280.3889,0
0,301,280388.9,280.3889,0
0,7,280376,280.376,0
trial finished okay,80,280377,280.377,0
0,401,284220.4,284.2204,0
end of block,100,284221.4,284.2214,0
0,0,0,0,0
0,140517,0.3,3.00E-04,0
0,105217,0.4,4.00E-04,0
0,15,0.4,4.00E-04,0
0,500,1,0.001,0
0,206,2,0.002,0
0,10000,3,0.003,0
0,18000,4,0.004,0
LH Block Start,10,33.2,0.0332,0
Visible Block Start,12,34.2,0.0342,0
0,94,34.2,0.0342,0
0,9201,68817.3,68.8173,0
0,20,68818.3,68.8183,0
0,40,76433.3,76.4333,0
move epoch: 2cm cube,62,77399.7,77.3997,0
0,8001,77399.7,77.3997,0
0,7,77376,77.376,0
trial finished okay,80,77377,77.377,0
experimenter confirmed,90,82176.5,82.1765,0
0,9202,82580.9,82.5809,0
0,20,82581.9,82.5819,0
0,40,88447.3,88.4473,0
move epoch: 3cm cube,63,89530.4,89.5304,0
0,8002,89530.4,89.5304,0
0,7,89515,89.515,0
trial finished okay,80,89516,89.516,0
experimenter denied,91,82176.5,82.1765,0
0,9203,93560.5,93.5605,0
0,20,93561.5,93.5615,0
ERROR: lifted during loading/checking,30,100578,100.578,0
0,94,34.2,0.0342,0
0,9203,109741.7,109.7417,0
0,20,109742.7,109.7427,0
ERROR: lifted during loading/checking,30,111658,111.658,0
0,94,34.2,0.0342,0
0,9203,114174.1,114.1741,0
0,20,114175.1,114.1751,0
ERROR: lifted during loading/checking,30,114641,114.641,0
0,94,34.2,0.0342,0
0,9203,115523.8,115.5238,0
0,20,115524.8,115.5248,0
ERROR: lifted during loading/checking,30,115808,115.808,0
0,94,34.2,0.0342,0
0,9203,116603,116.603,0
0,20,116604,116.604,0
ERROR: lifted during loading/checking,30,128888,128.888,0
0,94,34.2,0.0342,0
0,9203,143562.8,143.5628,0
0,20,143563.8,143.5638,0
0,40,149050.8,149.0508,0
move epoch: 1cm cube,61,150850.4,150.8504,0
0,8003,150850.4,150.8504,0
0,7,150831,150.831,0
trial finished okay,80,150832,150.832,0
experimenter denied,91,82176.5,82.1765,0
0,9204,155661.6,155.6616,0
0,20,155662.6,155.6626,0
0,40,163047.8,163.0478,0
move epoch: 3cm cube,63,163980.9,163.9809,0
0,8004,163980.9,163.9809,0
0,7,163962,163.962,0
trial finished okay,80,163963,163.963,0
experimenter confirmed,90,82176.5,82.1765,0
0,9205,167929,167.929,0
0,20,167930,167.93,0
0,40,176928.1,176.9281,0
move epoch: 3cm cube,63,177861.2,177.8612,0
0,8005,177861.2,177.8612,0
0,7,177838,177.838,0
trial finished okay,80,177839,177.839,0
experimenter denied,91,82176.5,82.1765,0
0,9206,182186.2,182.1862,0
0,20,182187.2,182.1872,0
0,40,192724.6,192.7246,0
move epoch: 1cm cube,61,193805.9,193.8059,0
0,8006,193805.9,193.8059,0
0,7,193797,193.797,0
trial finished okay,80,193798,193.798,0
experimenter confirmed,90,198606.7,198.6067,0
