trial,optoblocksize,lOOKS LIKE,good or bad,notes
1,1cm,,BAD,
2,1cm,,BAD,
3,1cm,,BAD,
4,2cm,2,!,180
5,2cm,2,,
6,2cm,2,,
7,4cm,,BAD,
8,2cm,2,,
9,1cm,1,,
10,1cm,1,,
11,4cm,,BAD,
12,4cm,,BAD,
13,2cm,2,,
14,4cm,4,,
15,1cm,1,,
16,2cm,2,,
17,4cm,4,,
18,1cm,1,,
19,1cm,1,,
20,2cm,2,,
21,4cm,4,,
22,1cm,1,,
23,4cm,,BAD,
24,2cm,2,,
25,2cm,2,,
26,4cm,,BAD,
27,2cm,2,,
28,4cm,4,,
29,1cm,1,!,230
30,2cm,2,,
31,1cm,1,!,190
32,4cm,4,,
33,4cm,4,,
34,1cm,,BAD,
35,1cm,1,,
36,4cm,4,,
37,2cm,2,,
38,1cm,1,,
39,4cm,4,!,110
40,2cm,2,,
41,2cm,2,,
42,1cm,1,,
43,1cm,1,!,200
44,4cm,4,,
45,4cm,4,,
46,2cm,2,,
47,2cm,2,,
48,4cm,4,,
49,2cm,2,,
50,1cm,2,DIFF,
51,1cm,1,,
52,1cm,,BAD,
53,4cm,4,,
54,4cm,4,,
55,4cm,,BAD,
56,4cm,4,,
57,2cm,2,,
58,1cm,1,,
59,4cm,,BAD,
60,1cm,,BAD,
61,1cm,,BAD,
62,1cm,,BAD,
63,1cm,1,,
64,2cm,,BAD,
65,2cm,2,,
66,1cm,2,DIFF,
67,2cm,,BAD,
68,1cm,1,!,170
69,1cm,1,,
70,2cm,2,,
71,4cm,4,,
72,2cm,2,,
73,4cm,4,,
74,4cm,4,,
75,2cm,2,!,190
76,2cm,2,,
77,1cm,1,,
78,1cm,1,,
79,1cm,1,,
80,2cm,2,,
81,1cm,,BAD,
82,2cm,2,,
83,2cm,2,,
84,2cm,2,,
85,1cm,1,!,300
86,1cm,1,,
87,2cm,2,,
88,4cm,4,,
89,4cm,4,,
90,1cm,1,,
91,1cm,1,,
92,2cm,2,,
93,4cm,4,,
94,1cm,1,,
95,2cm,2,,
96,2cm,2,,
97,4cm,4,,
98,4cm,4,,
99,1cm,1,,
100,4cm,4,,
101,2cm,2,,
102,2cm,2,,
103,2cm,2,,
104,4cm,4,,
105,1cm,1,,
106,1cm,1,,
107,1cm,1,,
108,1cm,1,,
109,4cm,4,,
110,2cm,2,,
111,2cm,2,,
112,4cm,4,,
113,2cm,2,,
