"Hz","optotrak.pulse.number","x1","y1","z1","x2","y2","z2","x3","y3","z3","x4","y4","z4","x5","y5","z5","x6","y6","z6","x7","y7","z7","x8","y8","z8","x9","y9","z9","x10","y10","z10","x11","y11","z11","x12","y12","z12"
1,"44",777.3,762.8,27,779.8,768.8,21.6,759.1,750.4,16.6,754.9,743.1,19.8,808.4,765.4,68.1,810.3,761.4,71.7,481.2,548.3,-2.3,489.4,554.2,-2,554.7,773.8,43.2,545,766.7,40.8,771.3,751.3,45.5,763.7,745.2,42.6
2,"44",777.6,763,27.1,780.1,769.1,21.8,759,750.3,16.8,754.8,743,19.9,808.3,765,68.2,810.2,760.9,71.8,481.2,548.3,-2.3,489.4,554.2,-2,554.7,773.8,43.2,545,766.7,40.8,771.2,751,45.6,763.5,744.8,42.8
3,"44",777.8,763.3,27.3,780.4,769.5,22.1,759,750.2,17,754.7,742.9,20,808.2,764.5,68.3,810.1,760.4,71.9,481.2,548.3,-2.3,489.4,554.2,-2,554.7,773.8,43.3,545,766.7,40.8,771.1,750.6,45.8,763.4,744.5,42.9
4,"44",778,763.7,27.5,780.7,770,22.4,758.9,750.1,17.2,754.6,742.7,20.1,808.1,763.9,68.5,809.9,759.8,72,481.2,548.3,-2.3,489.4,554.2,-2,554.7,773.8,43.3,545,766.7,40.8,770.9,750.2,45.9,763.2,744.1,43.1
5,"44",778.3,764,27.7,781.1,770.4,22.7,758.8,749.9,17.5,754.4,742.5,20.2,808,763.3,68.6,809.8,759.2,72.1,481.2,548.3,-2.3,489.4,554.1,-2,554.7,773.8,43.3,545,766.7,40.8,770.7,749.8,46.1,763.1,743.6,43.4
6,"44",778.6,764.4,28,781.5,770.9,23.1,758.7,749.7,17.8,754.3,742.2,20.4,807.8,762.6,68.8,809.6,758.4,72.2,481.2,548.3,-2.3,489.4,554.1,-2,554.7,773.7,43.3,545,766.7,40.8,770.5,749.2,46.3,762.8,743,43.6
7,"44",778.9,764.7,28.3,781.9,771.3,23.6,758.6,749.4,18.1,754,741.9,20.6,807.6,761.8,69,809.4,757.5,72.3,481.2,548.3,-2.3,489.4,554.1,-2,554.7,773.7,43.3,545,766.7,40.8,770.2,748.6,46.6,762.5,742.4,43.8
8,"44",779.1,765,28.8,782.3,771.8,24.2,758.4,749.1,18.5,753.8,741.5,20.8,807.4,760.8,69.3,809.1,756.6,72.5,481.2,548.3,-2.3,489.4,554.1,-2,554.7,773.7,43.3,545,766.7,40.8,769.9,747.9,46.8,762.2,741.6,44.1
9,"44",779.4,765.3,29.4,782.7,772.3,25,758.2,748.8,19,753.6,741.2,21.1,807.1,759.9,69.6,808.7,755.5,72.8,481.2,548.2,-2.3,489.4,554.1,-2,554.7,773.7,43.3,545,766.7,40.8,769.6,747.1,47.1,761.9,740.9,44.4
10,"44",779.7,765.7,30.2,783.1,772.9,26,758.1,748.5,19.4,753.4,740.8,21.5,806.8,758.9,69.9,808.4,754.5,73,481.2,548.2,-2.3,489.3,554.1,-2,554.7,773.7,43.3,545,766.7,40.9,769.3,746.4,47.4,761.5,740.2,44.7
11,"44",779.9,766.2,31,783.5,773.4,27,757.9,748.2,19.8,753.2,740.5,21.7,806.4,758,70.3,808,753.6,73.3,481.2,548.2,-2.3,489.3,554.1,-2,554.7,773.7,43.3,545,766.7,40.9,769,745.8,47.7,761.2,739.6,45
12,"44",780.2,766.6,31.8,783.8,774,27.9,757.8,747.9,20.2,753,740.3,22,806.1,757.2,70.7,807.6,752.7,73.6,481.2,548.2,-2.3,489.3,554.1,-2,554.7,773.7,43.3,545,766.7,40.9,768.8,745.3,48,761,739.1,45.3
13,"44",780.4,767.1,32.7,784.2,774.5,28.9,757.7,747.8,21,752.8,740.2,22.7,805.8,756.5,71.2,807.3,751.9,74.1,481.2,548.2,-2.3,489.3,554.1,-2,554.7,773.7,43.3,545,766.7,40.9,768.5,744.9,48.6,760.8,738.7,45.9
