"translation","V1","V2","TimeSec","TimeAbsolute"
"0","0",0,0,0
"0","141107",0.6,6e-04,0
"0","110043",0.6,6e-04,0
"0","506",0.6,6e-04,0
"0","501",1,0.001,0
"0","206",2,0.002,0
"0","10000",3,0.003,0
"0","16000",4,0.004,0
"RH Block Start","11",33.2,0.0332,0
"Hidden Block Start","13",34.2,0.0342,0
"0","94",34.2,0.0342,0
"0","9101",145282.7,145.2827,0
"0","20",145283.7,145.2837,0
"0","40",158530.7,158.5307,0
"move epoch: 1cm cube","61",159363.8,159.3638,0
"0","8001",159363.8,159.3638,0
"0","8",159338,159.338,0
"trial finished okay","80",159339,159.339,0
"experimenter confirmed","90",3.63235088767701e-283,3.63235088767701e-286,0
"0","9102",164378.4,164.3784,0
"0","20",164379.4,164.3794,0
"0","40",184174.9,184.1749,0
"move epoch: 3cm cube","63",184858.1,184.8581,0
"0","8002",184858.1,184.8581,0
"0","8",184839,184.839,0
"trial finished okay","80",184840,184.84,0
"experimenter confirmed","90",3.63235088767701e-283,3.63235088767701e-286,0
"0","9103",189872.6,189.8726,0
"0","20",189873.6,189.8736,0
"0","40",212318.5,212.3185,0
"move epoch: 2cm cube","62",212985,212.985,0
"0","8003",212985,212.985,0
"0","8",212965,212.965,0
"trial finished okay","80",212966,212.966,0
"experimenter confirmed","90",3.63235088767701e-283,3.63235088767701e-286,0
"0","9104",216114.7,216.1147,0
"0","20",216115.7,216.1157,0
"0","40",245061.1,245.0611,0
"move epoch: 1cm cube","61",252326.1,252.3261,0
"0","8004",252326.1,252.3261,0
"0","8",252304,252.304,0
"trial finished okay","80",252305,252.305,0
"experimenter denied","91",252726,252.726,0
"0","9105",253491.5,253.4915,0
"0","20",253492.5,253.4925,0
"0","40",261224.1,261.2241,0
"move epoch: 2cm cube","62",262273.9,262.2739,0
"0","8005",262273.9,262.2739,0
"0","8",262262,262.262,0
"trial finished okay","80",262263,262.263,0
"experimenter confirmed","90",252726,252.726,0
"0","9106",265083.5,265.0835,0
"0","20",265084.5,265.0845,0
"0","40",270788.6,270.7886,0
"move epoch: 3cm cube","63",271588.4,271.5884,0
"0","8006",271588.4,271.5884,0
"0","8",271564,271.564,0
"trial finished okay","80",271565,271.565,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9107",274786.7,274.7867,0
"0","20",274787.7,274.7877,0
"0","40",281569.5,281.5695,0
"move epoch: 3cm cube","63",282485.9,282.4859,0
"0","8007",282485.9,282.4859,0
"0","8",282468,282.468,0
"trial finished okay","80",282469,282.469,0
"experimenter confirmed","90",274215.7,274.2157,0
"0","9108",285067.7,285.0677,0
"0","20",285068.7,285.0687,0
"0","40",290250.9,290.2509,0
"move epoch: 2cm cube","62",290781.5,290.7815,0
"0","8008",290781.5,290.7815,0
"0","8",290772,290.772,0
"trial finished okay","80",290773,290.773,0
