"translation","V1","V2","TimeSec","TimeAbsolute"
"1cm",61,159363.8,159.3638,0
"4cm",63,184858.1,184.8581,0
"2cm",62,212985,212.985,0
"1cm",61,252326.1,252.3261,0
"2cm",62,262273.9,262.2739,0
"4cm",63,271588.4,271.5884,0
"4cm",63,282485.9,282.4859,0
"2cm",62,290781.5,290.7815,0
"1cm",61,299230.8,299.2308,0
"1cm",61,329908.5,329.9085,0
"2cm",62,337723.4,337.7234,0
"1cm",61,345588.3,345.5883,0
"2cm",62,354003.1,354.0031,0
"4cm",63,362684.4,362.6844,0
"4cm",63,370516,370.516,0
"2cm",62,378364.2,378.3642,0
"4cm",63,387245.5,387.2455,0
"2cm",62,397093.3,397.0933,0
"2cm",62,405874.6,405.8746,0
"1cm",61,415305.8,415.3058,0
"4cm",63,423670.6,423.6706,0
"4cm",63,432418.6,432.4186,0
"1cm",61,441283.3,441.2833,0
"1cm",61,449981.3,449.9813,0
"2cm",62,458929.3,458.9293,0
"2cm",62,520515.3,520.5153,0
"1cm",61,637155.6,637.1556,0
"2cm",62,649402.8,649.4028,0
"4cm",63,661766.6,661.7666,0
"1cm",61,675177.6,675.1776,0
"4cm",63,688427.3,688.4273,0
"2cm",62,702957.3,702.9573,0
"4cm",63,713753.6,713.7536,0
"4cm",63,724685.7,724.6857,0
"4cm",63,735215.1,735.2151,0
"2cm",62,746847.4,746.8474,0
"1cm",61,757245,757.245,0
"1cm",61,767875.9,767.8759,0
"1cm",61,777973.6,777.9736,0
"2cm",62,789404.3,789.4043,0
"1cm",61,800435.2,800.4352,0
"4cm",63,813099,813.099,0
"2cm",62,823646.6,823.6466,0
"4cm",63,835677.2,835.6772,0
"2cm",62,846458.1,846.4581,0
"2cm",62,857005.7,857.0057,0
"1cm",61,868719.7,868.7197,0
"4cm",63,881483.5,881.4835,0
"1cm",61,892514.3,892.5143,0
"1cm",61,903961.7,903.9617,0
"4cm",63,916256.4,916.2564,0
"1cm",61,1356875.8,1356.8758,0
"4cm",63,1368989.7,1368.9897,0
"1cm",61,1379870.6,1379.8706,0
"1cm",61,1390601.5,1390.6015,0
"4cm",63,1401532.3,1401.5323,0
"2cm",62,1412613.1,1412.6131,0
"4cm",63,1423044.1,1423.0441,0
"4cm",63,1434258.2,1434.2582,0
"2cm",62,1444789.2,1444.7892,0
"1cm",61,1454537,1454.537,0
"2cm",62,1464851.3,1464.8513,0
"4cm",63,1474532.4,1474.5324,0
"4cm",63,1484630.1,1484.6301,0
"2cm",62,1494911.1,1494.9111,0
"1cm",61,1504858.9,1504.8589,0
"1cm",61,1515156.6,1515.1566,0
"4cm",63,1524704.4,1524.7044,0
"1cm",61,1534652.1,1534.6521,0
"4cm",63,1544983.1,1544.9831,0
"1cm",61,1554980.9,1554.9809,0
"2cm",62,1564178.8,1564.1788,0
"2cm",62,1573560,1573.56,0
"2cm",62,1583641,1583.641,0
"2cm",62,1593855.4,1593.8554,0
"2cm",62,1603467,1603.467,0
"2cm",62,1613400.9,1613.4009,0
"1cm",61,1670904.6,1670.9046,0
"2cm",62,1679019.4,1679.0194,0
"4cm",63,1701397.7,1701.3977,0
"4cm",63,1710179,1710.179,0
"2cm",62,1717827.3,1717.8273,0
"4cm",63,1726258.7,1726.2587,0
"1cm",61,1734073.6,1734.0736,0
"1cm",61,1743371.5,1743.3715,0
"1cm",61,1751136.4,1751.1364,0
"2cm",62,1758234.8,1758.2348,0
"4cm",63,1766083,1766.083,0
"4cm",63,1774214.5,1774.2145,0
"2cm",62,1782212.7,1782.2127,0
"2cm",62,1790394.1,1790.3941,0
"4cm",63,1798459,1798.459,0
"1cm",61,1807057.1,1807.0571,0
"4cm",63,1815505.2,1815.5052,0
"2cm",62,1823420,1823.42,0
"2cm",62,1830885,1830.885,0
"2cm",62,1837550.1,1837.5501,0
"1cm",61,1845081.8,1845.0818,0
"1cm",61,1852863.4,1852.8634,0
"1cm",61,1860545,1860.545,0
"4cm",63,1869224.1,1869.2241,0
"1cm",61,1877257.8,1877.2578,0
