trial,optoblocksize,lOOKS LIKE,good or bad,notes,
1,,,BAD,,
2,,,BAD,,
3,,,BAD,,
4,4cm,4,,,1
5,2cm,2,,,2
6,4cm,4,,,3
7,4cm,4,,,4
8,2cm,2,,,5
9,1cm,1,,,6
10,1cm,1,,,7
11,4cm,4,,,8
12,2cm,2,,,9
13,4cm,4,,,10
14,1cm,1,,,11
15,2cm,2,,,12
16,2cm,2,,,13
17,4cm,4,,,14
18,1cm,1,,,15
19,2cm,2,,,16
20,4cm,4,,,17
21,1cm,1,,,18
22,1cm,1,,,19
23,1cm,1,,,20
24,2cm,2,,,21
25,4cm,4,,,22
26,2cm,2,,,23
27,1cm,1,,,24
28,4cm,4,,,25
29,1cm,1,,,26
30,2cm,,BAD,,
31,4cm,,BAD,,
32,2cm,2,,,27
33,1cm,,BAD,,
34,4cm,4,,,28
35,1cm,1,,,29
36,2cm,2,,,30
37,2cm,2,,,31
38,4cm,4,,,32
39,2cm,2,,,33
40,2cm,2,,,34
41,1cm,1,,,35
42,4cm,4,,,36
43,2cm,2,,,37
44,1cm,,BAD,,
45,4cm,4,,,38
46,,,BAD,,
47,1cm,1,,,39
48,2cm,2,,,40
49,4cm,4,,,41
50,4cm,,BAD,,
51,1cm,1,,,42
52,4cm,,BAD,,
53,2cm,2,,,43
54,2cm,,BAD,,
55,4cm,4,,,44
56,2cm,,BAD,,
57,1cm,,BAD,,
58,4cm,,BAD,,
59,2cm,2,!,95,45
60,4cm,4,,,46
61,4cm,4,,,47
62,2cm,2,,,48
63,4cm,,BAD,,
64,1cm,,BAD,,
65,,,BAD,,
66,2cm,2,,,49
67,4cm,4,,,50
68,4cm,4,,,51
69,4cm,4,,,52
70,2cm,2,,,53
71,2cm,,!,100,54
72,1cm,1,,,55
73,4cm,4,,,56
74,1cm,,!,100,57
75,4cm,4,,,58
76,2cm,2,,,59
77,1cm,1,,,60
78,2cm,2,,,61
79,2cm,2,,,62
80,1cm,1,,,63
81,4cm,4,,,64
82,1cm,1,!,90,65
83,2cm,2,,,66
84,1cm,1,!,100,67
85,1cm,1,,,68
86,4cm,4,,,69
87,4cm,4,,,70
88,2cm,2,,,71
89,4cm,4,,,72
90,2cm,2,,,73
91,1cm,1,,,74
92,1cm,1,,,75
93,2cm,2,,,76
94,2cm,2,,,77
95,4cm,4,,,78
96,4cm,4,,,79
97,2cm,2,,,80
98,2cm,2,,,81
99,2cm,2,,,82
100,1cm,1,,,83
101,4cm,4,,,84
102,2cm,2,,,85
103,2cm,2,,,86
104,4cm,4,,,87
105,4cm,4,,,88
106,1cm,1,,,89
107,1cm,1,,,90
108,1cm,1,,,91
109,1cm,1,,,92
110,4cm,4,,,93
111,4cm,4,,,94
112,1cm,1,,,95
113,2cm,2,,,96
114,1cm,1,,,97
115,4cm,4,,,98
116,,,BAD,,
117,,,BAD,,
