"translation","V1","V2","TimeSec","TimeAbsolute"
"0","0",0,0,0
"0","141209",0.5,5e-04,0
"0","100310",0.6,6e-04,0
"0","906",0.6,6e-04,0
"0","500",1,0.001,0
"0","202",2,0.002,0
"0","10000",3,0.003,0
"0","16000",4,0.004,0
"LH Block Start","10",33.2,0.0332,0
"Hidden Block Start","13",34.2,0.0342,0
"0","94",34.2,0.0342,0
"0","9101",56934.4,56.9344,0
"0","20",56935.4,56.9354,0
"0","40",64551.3,64.5513,0
"move epoch: 3cm cube","63",65401.2,65.4012,0
"0","8001",65401.2,65.4012,0
"0","7",65379,65.379,0
"trial finished okay","80",65380,65.38,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9102",71148.8,71.1488,0
"0","20",71149.8,71.1498,0
"0","40",75065.5,75.0655,0
"move epoch: 2cm cube","62",75965.3,75.9653,0
"0","8002",75965.3,75.9653,0
"0","7",75950,75.95,0
"trial finished okay","80",75951,75.951,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9103",79696.8,79.6968,0
"0","20",79697.8,79.6978,0
"0","40",84580,84.58,0
"move epoch: 3cm cube","63",85446.4,85.4464,0
"0","8003",85446.4,85.4464,0
"0","7",85422,85.422,0
"trial finished okay","80",85423,85.423,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9104",89361.2,89.3612,0
"0","20",89362.2,89.3622,0
"0","40",94560.9,94.5609,0
"move epoch: 3cm cube","63",95260.8,95.2608,0
"0","8004",95260.8,95.2608,0
"0","7",95241,95.241,0
"trial finished okay","80",95242,95.242,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9105",98592.3,98.5923,0
"0","20",98593.3,98.5933,0
"0","40",102892.3,102.8923,0
"move epoch: 2cm cube","62",103592.1,103.5921,0
"0","8005",103592.1,103.5921,0
"0","7",103567,103.567,0
"trial finished okay","80",103568,103.568,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9106",107051.6,107.0516,0
"0","20",107052.6,107.0526,0
"0","40",112640,112.64,0
"move epoch: 1cm cube","61",113306.5,113.3065,0
"0","8006",113306.5,113.3065,0
"0","7",113286,113.286,0
"trial finished okay","80",113287,113.287,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9107",116781.6,116.7816,0
"0","20",116782.6,116.7826,0
"0","40",122137.8,122.1378,0
"move epoch: 1cm cube","61",122737.6,122.7376,0
"0","8007",122737.6,122.7376,0
"0","7",122721,122.721,0
"trial finished okay","80",122722,122.722,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9108",126169.2,126.1692,0
"0","20",126170.2,126.1702,0
"0","40",131635.5,131.6355,0
"move epoch: 3cm cube","63",132117,132.117,0
"0","8008",132117,132.117,0
"0","7",132109,132.109,0
"trial finished okay","80",132110,132.11,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9109",135398,135.398,0
"0","20",135399,135.399,0
"0","40",143582.7,143.5827,0
"move epoch: 2cm cube","62",144165.9,144.1659,0
"0","8009",144165.9,144.1659,0
"0","7",144144,144.144,0
"trial finished okay","80",144145,144.145,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9110",147330.8,147.3308,0
"0","20",147331.8,147.3318,0
"0","40",154296.9,154.2969,0
"move epoch: 3cm cube","63",154880.1,154.8801,0
"0","8010",154880.1,154.8801,0
"0","7",154856,154.856,0
"trial finished okay","80",154857,154.857,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9111",158511.5,158.5115,0
"0","20",158512.5,158.5125,0
"0","40",163894.6,163.8946,0
"move epoch: 1cm cube","61",164411.1,164.4111,0
"0","8011",164411.1,164.4111,0
"0","7",164394,164.394,0
"trial finished okay","80",164395,164.395,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9112",167409.4,167.4094,0
"0","20",167410.4,167.4104,0
"0","40",172409.3,172.4093,0
"move epoch: 2cm cube","62",173009,173.009,0
"0","8012",173009,173.009,0
"0","7",172996,172.996,0
"trial finished okay","80",172997,172.997,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9113",176284.7,176.2847,0
"0","20",176285.7,176.2857,0
"0","40",181723.7,181.7237,0
"move epoch: 2cm cube","62",182290.3,182.2903,0
"0","8013",182290.3,182.2903,0
"0","7",182267,182.267,0
"trial finished okay","80",182268,182.268,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9114",186071.6,186.0716,0
"0","20",186072.6,186.0726,0
"0","40",191721.4,191.7214,0
"move epoch: 3cm cube","63",192254.6,192.2546,0
"0","8014",192254.6,192.2546,0
"0","7",192232,192.232,0
"trial finished okay","80",192233,192.233,0
"experimenter confirmed","90",69466.9,69.4669,0
"0","9115",195669.4,195.6694,0
"0","20",195670.4,195.6704,0
