"translation","V1","V2","TimeSec","TimeAbsolute"
"0",8001,348519.8,348.5198,0
"0",8002,376580,376.58,0
"0",8003,384861.5,384.8615,0
"0",8004,399124.8,399.1248,0
"0",8005,407672.9,407.6729,0
"0",8006,415569.2,415.5692,0
"0",8007,425168.8,425.1688,0
"0",8008,443747.9,443.7479,0
"0",8009,452162.6,452.1626,0
"0",8010,459760.9,459.7609,0
"0",8011,468458.9,468.4589,0
"0",8012,477373.5,477.3735,0
"0",8013,485070.4,485.0704,0
"0",8014,493453.1,493.4531,0
"0",8015,501468,501.468,0
"0",8016,509599.4,509.5994,0
"0",8017,518664,518.664,0
"0",8018,526645.5,526.6455,0
"0",8019,534843.6,534.8436,0
"0",8020,543558.3,543.5583,0
"0",8021,551473.1,551.4731,0
"0",8022,559954.5,559.9545,0
"0",8023,567452.8,567.4528,0
"0",8024,575265.5,575.2655,0
