Number of frames: 500
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z,Marker_5 x,Marker_5 y,Marker_5 z,Marker_6 x,Marker_6 y,Marker_6 z,Marker_7 x,Marker_7 y,Marker_7 z,Marker_8 x,Marker_8 y,Marker_8 z,Marker_9 x,Marker_9 y,Marker_9 z,Marker_10 x,Marker_10 y,Marker_10 z,Marker_11 x,Marker_11 y,Marker_11 z,Marker_12 x,Marker_12 y,Marker_12 z
1,-322.225341797,259.032531738,-2121.196777344,-330.742034912,259.983795166,-2121.077392578,-322.456573486,241.240753174,-2125.617187500,-331.667083740,244.433044434,-2129.930419922,-251.162689209,265.216979980,-2134.242919922,,,,-332.710723877,-27.563644409,-2144.559326172,-331.812713623,-18.804706573,-2145.276611328,,,,,,,-304.070739746,239.886169434,-2124.559570313,-293.153198242,239.992782593,-2123.390625000,
2,-319.938476563,257.951293945,-2119.852539063,-328.470245361,258.958465576,-2119.654541016,-320.378906250,239.422668457,-2124.377197266,-329.667083740,242.430801392,-2128.628662109,-249.358383179,263.930938721,-2133.756591797,,,,-332.711029053,-27.558130264,-2144.551513672,-331.816223145,-18.800222397,-2145.284179688,,,,,,,-301.989440918,238.310440063,-2123.461181641,-291.069335938,238.556091309,-2122.343750000,
3,-317.328460693,256.540863037,-2118.490478516,-325.814453125,257.553955078,-2118.010009766,-317.954223633,237.201217651,-2123.012695313,-327.319183350,240.050949097,-2127.298095703,-247.197143555,262.305999756,-2133.220214844,,,,-332.711059570,-27.553777695,-2144.540527344,-331.817932129,-18.795309067,-2145.281250000,,,,,,,-299.539794922,236.343429565,-2122.282714844,-288.616363525,236.736022949,-2121.271972656,
4,-314.419311523,254.724395752,-2116.940917969,-322.898193359,255.774948120,-2116.356445313,-315.238739014,234.510635376,-2121.526855469,-324.694854736,237.131866455,-2125.692626953,-244.804748535,260.410064697,-2132.593261719,,,,-332.713836670,-27.549789429,-2144.543701172,-331.818725586,-18.793767929,-2145.284179688,,,,,,,-296.800537109,233.997863770,-2120.992675781,-285.874176025,234.566467285,-2120.127441406,
5,-311.376739502,252.645324707,-2115.411132813,-319.865142822,253.703872681,-2114.800537109,-312.245056152,231.393768311,-2119.740234375,-321.805755615,233.741348267,-2123.755859375,-242.265335083,258.313964844,-2131.925781250,,,,-332.707214355,-27.549751282,-2144.549804688,-331.813476563,-18.792329788,-2145.289306641,,,,,,,-293.809875488,231.305786133,-2119.476074219,-282.883483887,232.117385864,-2118.753173828,
6,-308.405273438,250.306915283,-2113.974365234,-316.865356445,251.349166870,-2113.171142578,-309.061035156,227.886383057,-2117.739990234,-318.747161865,229.939315796,-2121.666748047,-239.630844116,256.049621582,-2130.999755859,,,,-332.707122803,-27.552396774,-2144.556884766,-331.811340332,-18.795509338,-2145.285888672,,,,,,,-290.655426025,228.309890747,-2117.814208984,-279.735351563,229.401245117,-2117.218261719,
7,-305.548095703,247.787338257,-2112.574462891,-314.005523682,248.824020386,-2111.679199219,-305.798187256,224.035781860,-2115.572753906,-315.602233887,225.770233154,-2119.433105469,-236.976181030,253.598403931,-2129.861083984,,,,-332.709106445,-27.555261612,-2144.566650391,-331.813934326,-18.797739029,-2145.294921875,,,,,,,-287.446716309,225.033248901,-2116.012451172,-276.549896240,226.448837280,-2115.586181641,
8,-302.812774658,245.024017334,-2111.174804688,-311.247314453,246.039443970,-2110.260498047,-302.644683838,220.007598877,-2113.557861328,-312.495086670,221.351745605,-2117.187744141,-234.411392212,250.986175537,-2128.613769531,,,,-332.710266113,-27.558074951,-2144.567626953,-331.814849854,-18.801067352,-2145.302978516,,,,,,,-284.330078125,221.582977295,-2114.217041016,-273.469421387,223.318511963,-2113.871826172,
9,-300.199890137,241.967620850,-2109.872070313,-308.653381348,242.992721558,-2108.903808594,-299.620544434,215.847946167,-2111.567138672,-309.554382324,216.814605713,-2115.052978516,-231.986541748,248.157089233,-2127.122558594,,,,-332.713104248,-27.556293488,-2144.581542969,-331.813201904,-18.800331116,-2145.301025391,,,,,,,-281.389221191,217.991867065,-2112.364746094,-270.575531006,220.035018921,-2112.112060547,
10,-297.814147949,238.654846191,-2108.618408203,-306.262268066,239.647338867,-2107.688232422,-296.779449463,211.510101318,-2109.529541016,-306.763092041,212.106246948,-2112.906738281,-229.687408447,245.075500488,-2125.514892578,,,,-332.718444824,-27.553201675,-2144.589111328,-331.818481445,-18.796253204,-2145.307617188,,,,,,,-278.643920898,214.206985474,-2110.520507813,-267.894317627,216.562225342,-2110.322509766,
11,-295.633605957,235.018783569,-2107.368408203,-304.102386475,235.983078003,-2106.553955078,-294.103149414,206.890914917,-2107.575439453,-304.098602295,207.132644653,-2110.954833984,-227.546432495,241.734542847,-2123.770996094,,,,-332.722320557,-27.545385361,-2144.586181641,-331.823822021,-18.790122986,-2145.311767578,,,,,,,-276.076354980,210.145553589,-2108.707275391,-265.392761230,212.799026489,-2108.524658203,
12,-293.737182617,231.086425781,-2106.220703125,-302.229766846,232.032913208,-2105.484619141,-291.577575684,201.925292969,-2105.730957031,-301.597778320,201.797195435,-2109.055908203,-225.572769165,238.061691284,-2121.857666016,,,,-332.727722168,-27.537891388,-2144.585937500,-331.828491211,-18.782646179,-2145.314941406,,,,,,,-273.668426514,205.728118896,-2106.862792969,-263.068145752,208.688720703,-2106.697265625,
13,-292.152099609,226.915008545,-2105.214599609,-300.642059326,227.839920044,-2104.527099609,-289.194213867,196.588516235,-2103.784912109,-299.198822021,196.108474731,-2107.107666016,-223.806167603,234.065750122,-2119.899414063,,,,-332.730316162,-27.529142380,-2144.592285156,-331.831665039,-18.774524689,-2145.314697266,,,,,,,-271.451477051,200.962615967,-2105.072021484,-260.922454834,204.222686768,-2104.859619141,
14,-290.834930420,222.481796265,-2104.219238281,-299.337921143,223.419540405,-2103.700927734,-287.027618408,190.959686279,-2102.071044922,-297.021423340,190.160293579,-2105.367431641,-222.249557495,229.749404907,-2117.900146484,,,,-332.731781006,-27.524888992,-2144.582519531,-331.835571289,-18.769521713,-2145.312500000,,,,,,,-269.432495117,195.870376587,-2103.332519531,-258.998016357,199.396682739,-2103.086425781,
15,-289.805084229,217.827285767,-2103.307128906,-298.305694580,218.768508911,-2102.887695313,-285.121276855,185.096099854,-2100.589599609,-295.051849365,184.014526367,-2103.855957031,-220.880294800,225.094406128,-2115.882568359,,,,-332.737640381,-27.527719498,-2144.583984375,-331.836914063,-18.769868851,-2145.299804688,,,,,,,-267.657867432,190.455001831,-2101.736083984,-257.309814453,194.218750000,-2101.446533203,
16,-288.998291016,212.997283936,-2102.432128906,-297.505554199,213.961380005,-2102.110107422,-283.498962402,179.040908813,-2099.334960938,-293.373992920,177.742553711,-2102.645019531,-219.725112915,220.128356934,-2113.932861328,,,,-332.739532471,-27.533121109,-2144.582763672,-331.839477539,-18.773372650,-2145.290771484,,,,,,,-266.146057129,184.759262085,-2100.294921875,-255.865631104,188.725860596,-2099.894775391,
17,-288.414123535,208.030914307,-2101.675292969,-296.935394287,209.018707275,-2101.524169922,-282.128906250,172.854141235,-2098.219238281,-291.957550049,171.396026611,-2101.719726563,-218.759811401,214.914505005,-2111.999511719,,,,-332.740264893,-27.537645340,-2144.576660156,-331.839904785,-18.779111862,-2145.284667969,,,,,,,-264.878601074,178.865264893,-2099.016357422,-254.680999756,183.012496948,-2098.476562500,
18,-288.059722900,202.891662598,-2101.034667969,-296.585449219,203.917968750,-2101.029296875,-281.042510986,166.623321533,-2097.363769531,-290.822662354,165.040664673,-2101.067626953,-217.964279175,209.506301880,-2110.025146484,,,,-332.744323730,-27.544088364,-2144.593505859,-331.837219238,-18.785511017,-2145.276611328,,,,,,,-263.871246338,172.899475098,-2097.892578125,-253.747207642,177.197921753,-2097.208496094,
19,-287.888458252,197.573425293,-2100.562255859,-296.417114258,198.624389648,-2100.751220703,-280.269104004,160.515823364,-2096.702636719,-289.958251953,158.826354980,-2100.561279297,-217.355438232,204.030456543,-2108.074951172,,,,-332.742340088,-27.548784256,-2144.594482422,-331.835723877,-18.789400101,-2145.274414063,,,,,,,-263.168853760,166.988891602,-2096.890136719,-253.096649170,171.387557983,-2096.034423828,
20,-287.811523438,192.041702271,-2100.235595703,-296.342559814,193.108673096,-2100.681884766,-279.833862305,154.608428955,-2096.185791016,-289.425292969,152.848480225,-2100.247070313,-216.948532104,198.536880493,-2106.122802734,,,,-332.737121582,-27.549888611,-2144.601318359,-331.830871582,-18.788881302,-2145.275634766,,,,,,,-262.785705566,161.204437256,-2095.991455078,-252.763290405,165.657119751,-2094.930419922,
21,-287.810119629,186.352951050,-2100.044433594,-296.331390381,187.415023804,-2100.690673828,-279.728332520,148.883697510,-2095.920898438,-289.216857910,147.103225708,-2100.239013672,-216.758071899,193.058151245,-2104.111816406,,,,-332.735534668,-27.548288345,-2144.621582031,-331.824554443,-18.784040451,-2145.280029297,,,,,,,-262.708801270,155.550582886,-2095.208984375,-252.733810425,160.038925171,-2093.899169922,
22,-287.939880371,180.682861328,-2100.015869141,-296.435333252,181.719772339,-2100.795410156,-279.841033936,143.319992065,-2095.723388672,-289.210754395,141.516387939,-2100.307617188,-216.754898071,187.598114014,-2102.072265625,,,,-332.735260010,-27.541849136,-2144.633300781,-331.818450928,-18.775199890,-2145.282714844,,,,,,,-262.855102539,149.981323242,-2094.546630859,-252.931518555,154.504257202,-2092.958984375,
23,-288.223968506,175.086807251,-2100.048828125,-296.680877686,176.099517822,-2100.979736328,-280.036651611,137.745666504,-2095.568115234,-289.282745361,135.918212891,-2100.365966797,-216.887878418,182.158935547,-2100.081787109,,,,-332.737121582,-27.533821106,-2144.638183594,-331.817657471,-18.765701294,-2145.278076172,,,,,,,-263.091735840,144.444885254,-2093.825927734,-253.235397339,148.981185913,-2092.047119141,
24,-288.578399658,169.598434448,-2099.894042969,-297.026428223,170.651412964,-2101.164306641,-280.245391846,132.151840210,-2095.242431641,-289.378570557,130.292190552,-2100.256835938,-217.098968506,176.697921753,-2098.184326172,,,,-332.737182617,-27.526679993,-2144.634033203,-331.816192627,-18.756994247,-2145.271972656,,,,,,,-263.378021240,138.899810791,-2093.071777344,-253.564910889,143.446868896,-2091.038574219,
25,-289.029266357,164.277709961,-2099.863525391,-297.447082520,165.333938599,-2101.245849609,-280.505371094,126.575340271,-2094.847900391,-289.547912598,124.721450806,-2100.122070313,-217.358642578,171.204193115,-2096.397216797,,,,-332.737854004,-27.521223068,-2144.633056641,-331.815093994,-18.750349045,-2145.266357422,,,,,,,-263.712310791,133.356765747,-2092.294677734,-253.935134888,137.907623291,-2090.058593750,
