Number of frames: 1000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z
1,-185.943176270,-374.807220459,-2489.598144531,-187.559371948,-70.982063293,-2485.810302734,-310.872314453,-75.099143982,-2207.524414063,-218.517166138,-380.452423096,-2171.063964844,
2,-185.942184448,-374.804138184,-2489.589843750,-187.561431885,-70.981307983,-2485.806152344,-310.875000000,-75.097465515,-2207.527832031,-218.518844604,-380.454406738,-2171.073242188,
3,-185.942886353,-374.806976318,-2489.588867188,-187.561401367,-70.982032776,-2485.796142578,-310.874786377,-75.099739075,-2207.529052734,-218.518539429,-380.454040527,-2171.076904297,
4,-185.940277100,-374.801269531,-2489.574218750,-187.560958862,-70.981163025,-2485.802490234,-310.874725342,-75.099029541,-2207.529296875,-218.518859863,-380.455688477,-2171.081542969,
5,-185.940658569,-374.805847168,-2489.581298828,-187.559051514,-70.979835510,-2485.803710938,-310.875335693,-75.100616455,-2207.527099609,-218.518020630,-380.455261230,-2171.080566406,
6,-185.941986084,-374.807617188,-2489.591796875,-187.557723999,-70.981987000,-2485.799316406,-310.872009277,-75.101181030,-2207.533447266,-218.515533447,-380.456024170,-2171.075683594,
7,-185.940887451,-374.807464600,-2489.590576172,-187.559875488,-70.982521057,-2485.809814453,-310.870635986,-75.099220276,-2207.533691406,-218.516860962,-380.456085205,-2171.081054688,
8,-185.940032959,-374.803680420,-2489.580810547,-187.557342529,-70.982574463,-2485.812255859,-310.871673584,-75.101303101,-2207.530517578,-218.512908936,-380.453674316,-2171.073974609,
9,-185.939773560,-374.808593750,-2489.591552734,-187.556228638,-70.980590820,-2485.803710938,-310.871154785,-75.099601746,-2207.528564453,-218.514007568,-380.453308105,-2171.071289063,
10,-185.943222046,-374.806884766,-2489.594726563,-187.558349609,-70.981925964,-2485.808837891,-310.872467041,-75.098609924,-2207.529052734,-218.517303467,-380.454223633,-2171.075927734,
11,-185.948333740,-374.804718018,-2489.609619141,-187.567199707,-70.980957031,-2485.808105469,-310.874633789,-75.097587585,-2207.527587891,-218.518493652,-380.451507568,-2171.078613281,
12,-185.944030762,-374.801452637,-2489.580322266,-187.564636230,-70.979988098,-2485.801757813,-310.876037598,-75.098381042,-2207.526367188,-218.522232056,-380.451812744,-2171.082763672,
13,-185.951629639,-374.805419922,-2489.603027344,-187.561431885,-70.978919983,-2485.794189453,-310.874572754,-75.096649170,-2207.529541016,-218.520050049,-380.451507568,-2171.079589844,
14,-185.945541382,-374.802795410,-2489.584472656,-187.563476563,-70.979728699,-2485.804443359,-310.876403809,-75.097923279,-2207.536621094,-218.521911621,-380.452484131,-2171.079345703,
15,-185.942703247,-374.800140381,-2489.583740234,-187.563842773,-70.980010986,-2485.808105469,-310.873718262,-75.095069885,-2207.530273438,-218.520156860,-380.450286865,-2171.077392578,
16,-185.945358276,-374.803039551,-2489.585693359,-187.560852051,-70.977127075,-2485.793701172,-310.872283936,-75.095275879,-2207.525634766,-218.520523071,-380.451263428,-2171.076904297,
17,-185.945266724,-374.800384521,-2489.591064453,-187.561401367,-70.980346680,-2485.803466797,-310.872039795,-75.096488953,-2207.529541016,-218.521667480,-380.451141357,-2171.078613281,
18,-185.948287964,-374.801147461,-2489.588134766,-187.567153931,-70.979019165,-2485.800292969,-310.876342773,-75.097412109,-2207.529052734,-218.523712158,-380.449768066,-2171.078369141,
19,-185.947448730,-374.802581787,-2489.591796875,-187.568420410,-70.979309082,-2485.815673828,-310.878448486,-75.097381592,-2207.527099609,-218.522308350,-380.450408936,-2171.075439453,
20,-185.947875977,-374.804473877,-2489.594726563,-187.564498901,-70.979980469,-2485.802246094,-310.873260498,-75.097084045,-2207.520263672,-218.521759033,-380.452972412,-2171.076660156,
21,-185.945617676,-374.804290771,-2489.593994141,-187.564407349,-70.979148865,-2485.804687500,-310.873779297,-75.097572327,-2207.520996094,-218.522384644,-380.455230713,-2171.077880859,
22,-185.943695068,-374.803924561,-2489.587890625,-187.564132690,-70.979148865,-2485.801025391,-310.870758057,-75.097938538,-2207.518066406,-218.521682739,-380.454315186,-2171.088134766,
23,-185.940917969,-374.807128906,-2489.594726563,-187.559585571,-70.980255127,-2485.797363281,-310.865295410,-75.097816467,-2207.514404297,-218.518920898,-380.456024170,-2171.087890625,
24,-185.938095093,-374.806640625,-2489.595458984,-187.552917480,-70.980278015,-2485.797363281,-310.863342285,-75.098083496,-2207.510986328,-218.516662598,-380.454956055,-2171.083984375,
25,-185.941513062,-374.806945801,-2489.579101563,-187.558914185,-70.981246948,-2485.799560547,-310.866607666,-75.097305298,-2207.509033203,-218.519500732,-380.454345703,-2171.084228516,
26,-185.944656372,-374.804290771,-2489.585937500,-187.563812256,-70.982490540,-2485.806396484,-310.870910645,-75.098915100,-2207.512695313,-218.521484375,-380.455108643,-2171.096679688,
27,-185.941497803,-374.806121826,-2489.583984375,-187.558090210,-70.980239868,-2485.793457031,-310.868347168,-75.097587585,-2207.506103516,-218.517944336,-380.456390381,-2171.086181641,
28,-185.938705444,-374.805633545,-2489.589843750,-187.552749634,-70.980644226,-2485.780517578,-310.864685059,-75.097854614,-2207.516357422,-218.518218994,-380.458923340,-2171.084472656,
29,-185.941101074,-374.808197021,-2489.584716797,-187.558181763,-70.981918335,-2485.792236328,-310.866943359,-75.097900391,-2207.513427734,-218.517578125,-380.458923340,-2171.086914063,
30,-185.939544678,-374.804687500,-2489.577636719,-187.561477661,-70.982322693,-2485.802001953,-310.868835449,-75.099052429,-2207.511962891,-218.520767212,-380.457061768,-2171.086669922,
31,-185.940185547,-374.805633545,-2489.571289063,-187.558929443,-70.981414795,-2485.795898438,-310.867889404,-75.099533081,-2207.514648438,-218.518951416,-380.456024170,-2171.083984375,
32,-185.939575195,-374.808471680,-2489.576416016,-187.554626465,-70.982482910,-2485.790771484,-310.866638184,-75.098556519,-2207.506347656,-218.516067505,-380.457275391,-2171.080810547,
33,-185.941207886,-374.807739258,-2489.582275391,-187.558944702,-70.983253479,-2485.790039063,-310.867980957,-75.099212646,-2207.507568359,-218.520767212,-380.456634521,-2171.082763672,
34,-185.946533203,-374.806579590,-2489.583740234,-187.561904907,-70.982139587,-2485.791992188,-310.873229980,-75.099586487,-2207.509765625,-218.521575928,-380.458648682,-2171.086425781,
35,-185.946365356,-374.808349609,-2489.582275391,-187.566467285,-70.983398438,-2485.806640625,-310.874023438,-75.100059509,-2207.517822266,-218.521957397,-380.457580566,-2171.074707031,
36,-185.944290161,-374.808258057,-2489.586669922,-187.557586670,-70.982917786,-2485.804687500,-310.871612549,-75.098403931,-2207.515869141,-218.521072388,-380.458557129,-2171.082763672,
37,-185.943450928,-374.805633545,-2489.585693359,-187.560653687,-70.982620239,-2485.805419922,-310.873870850,-75.098136902,-2207.508544922,-218.520690918,-380.456359863,-2171.083496094,
38,-185.947052002,-374.807708740,-2489.587890625,-187.563140869,-70.980072021,-2485.798828125,-310.873931885,-75.096466064,-2207.498535156,-218.523605347,-380.454681396,-2171.076416016,
39,-185.946670532,-374.805938721,-2489.580566406,-187.561584473,-70.981460571,-2485.809326172,-310.873229980,-75.093757629,-2207.500732422,-218.521438599,-380.454681396,-2171.075683594,
40,-185.945358276,-374.805908203,-2489.589111328,-187.558685303,-70.981880188,-2485.802490234,-310.869598389,-75.092552185,-2207.494140625,-218.521331787,-380.456298828,-2171.076904297,
41,-185.946319580,-374.805267334,-2489.587158203,-187.561141968,-70.981063843,-2485.808349609,-310.874511719,-75.091156006,-2207.496093750,-218.523635864,-380.456634521,-2171.081298828,
42,-185.948272705,-374.803649902,-2489.581298828,-187.563888550,-70.980484009,-2485.807373047,-310.877868652,-75.089912415,-2207.496826172,-218.525863647,-380.454589844,-2171.079589844,
43,-185.946426392,-374.803771973,-2489.577392578,-187.560256958,-70.980972290,-2485.816162109,-310.877349854,-75.090599060,-2207.494384766,-218.523101807,-380.454833984,-2171.081054688,
44,-185.943328857,-374.802459717,-2489.588378906,-187.558273315,-70.981117249,-2485.812744141,-310.874053955,-75.091217041,-2207.497314453,-218.520751953,-380.453948975,-2171.068847656,
45,-185.944183350,-374.802734375,-2489.591064453,-187.558425903,-70.978507996,-2485.808593750,-310.875640869,-75.092376709,-2207.498535156,-218.523040771,-380.454223633,-2171.086425781,
46,-185.943222046,-374.804534912,-2489.586425781,-187.560150146,-70.979347229,-2485.811035156,-310.873443604,-75.091629028,-2207.496337891,-218.519699097,-380.453552246,-2171.083740234,
47,-185.942214966,-374.802337646,-2489.596923828,-187.558410645,-70.979530334,-2485.822998047,-310.873962402,-75.092765808,-2207.504638672,-218.520187378,-380.454620361,-2171.081054688,
48,-185.940109253,-374.801422119,-2489.585937500,-187.554092407,-70.978324890,-2485.813964844,-310.873504639,-75.092041016,-2207.506835938,-218.518630981,-380.453491211,-2171.078613281,
49,-185.939590454,-374.801330566,-2489.574951172,-187.558517456,-70.978378296,-2485.817382813,-310.876129150,-75.094512939,-2207.504882813,-218.519866943,-380.453247070,-2171.085449219,
50,-185.943328857,-374.803985596,-2489.591796875,-187.560729980,-70.978614807,-2485.818847656,-310.878417969,-75.094505310,-2207.507568359,-218.520660400,-380.452667236,-2171.084716797,
51,-185.947601318,-374.803741455,-2489.594726563,-187.556106567,-70.978569031,-2485.816650391,-310.879547119,-75.093521118,-2207.513427734,-218.523361206,-380.454254150,-2171.081298828,
52,-185.944747925,-374.803344727,-2489.611328125,-187.556747437,-70.979850769,-2485.819091797,-310.877777100,-75.094551086,-2207.503906250,-218.521209717,-380.454925537,-2171.080078125,
53,-185.941192627,-374.805297852,-2489.594970703,-187.556579590,-70.979652405,-2485.821533203,-310.879150391,-75.095619202,-2207.515136719,-218.520492554,-380.453979492,-2171.087646484,
54,-185.943878174,-374.804016113,-2489.587890625,-187.559280396,-70.977752686,-2485.816650391,-310.884521484,-75.097549438,-2207.519042969,-218.522674561,-380.454437256,-2171.078613281,
55,-185.942382813,-374.803344727,-2489.586425781,-187.557281494,-70.978050232,-2485.812744141,-310.882934570,-75.096305847,-2207.516357422,-218.523773193,-380.454345703,-2171.081542969,
