Number of frames: 1000
Frequency: 100
Units: mm

Frame,Marker_1 x,Marker_1 y,Marker_1 z,Marker_2 x,Marker_2 y,Marker_2 z,Marker_3 x,Marker_3 y,Marker_3 z,Marker_4 x,Marker_4 y,Marker_4 z
1,-190.081237793,-325.223114014,-2474.609130859,-195.104248047,-21.472049713,-2461.458251953,-318.925476074,-35.244216919,-2183.861083984,-223.394836426,-340.617126465,-2155.960937500,
2,-190.084915161,-325.227478027,-2474.602783203,-195.106719971,-21.473852158,-2461.475830078,-318.924407959,-35.244911194,-2183.850830078,-223.396484375,-340.617279053,-2155.961181641,
3,-190.083541870,-325.227661133,-2474.619628906,-195.109924316,-21.472309113,-2461.472900391,-318.922607422,-35.248107910,-2183.845458984,-223.392608643,-340.617401123,-2155.960937500,
4,-190.079010010,-325.227813721,-2474.630859375,-195.107696533,-21.472091675,-2461.475585938,-318.916412354,-35.248920441,-2183.839111328,-223.389221191,-340.615997314,-2155.957275391,
5,-190.082321167,-325.227905273,-2474.630126953,-195.101608276,-21.472558975,-2461.471679688,-318.915466309,-35.249233246,-2183.833251953,-223.392318726,-340.618988037,-2155.962646484,
6,-190.079544067,-325.226806641,-2474.617675781,-195.105346680,-21.471591949,-2461.474365234,-318.913604736,-35.248859406,-2183.836669922,-223.392410278,-340.618103027,-2155.961181641,
7,-190.073715210,-325.228851318,-2474.630615234,-195.105316162,-21.470888138,-2461.463867188,-318.911315918,-35.245948792,-2183.844482422,-223.387878418,-340.617309570,-2155.954833984,
8,-190.073059082,-325.224792480,-2474.632324219,-195.099105835,-21.470880508,-2461.470947266,-318.906768799,-35.247016907,-2183.844238281,-223.387374878,-340.616333008,-2155.949218750,
9,-190.076156616,-325.223785400,-2474.644531250,-195.099945068,-21.469272614,-2461.475830078,-318.907623291,-35.246894836,-2183.836669922,-223.389328003,-340.616577148,-2155.947998047,
10,-190.078353882,-325.223297119,-2474.628906250,-195.107681274,-21.470031738,-2461.469726563,-318.909881592,-35.249027252,-2183.826904297,-223.393234253,-340.615753174,-2155.950927734,
11,-190.075149536,-325.223632813,-2474.641845703,-195.106216431,-21.471897125,-2461.471679688,-318.909057617,-35.249603271,-2183.831054688,-223.390899658,-340.616088867,-2155.947509766,
12,-190.070022583,-325.225006104,-2474.642822266,-195.096298218,-21.470670700,-2461.468505859,-318.904602051,-35.246345520,-2183.835449219,-223.388916016,-340.617095947,-2155.955566406,
13,-190.067810059,-325.224914551,-2474.638916016,-195.097717285,-21.469467163,-2461.468261719,-318.906982422,-35.243961334,-2183.856201172,-223.387374878,-340.616210938,-2155.951660156,
14,-190.069610596,-325.225311279,-2474.638427734,-195.104721069,-21.471761703,-2461.463134766,-318.912536621,-35.239791870,-2183.875244141,-223.390625000,-340.613220215,-2155.951660156,
15,-190.072540283,-325.226043701,-2474.628906250,-195.105895996,-21.471679688,-2461.464355469,-318.915802002,-35.234394073,-2183.895507813,-223.390731812,-340.614196777,-2155.950195313,
16,-190.072082520,-325.224304199,-2474.642333984,-195.098770142,-21.470136642,-2461.448486328,-318.917205811,-35.232391357,-2183.898437500,-223.388870239,-340.615936279,-2155.953613281,
17,-190.075469971,-325.224029541,-2474.648437500,-195.104827881,-21.472610474,-2461.458740234,-318.921539307,-35.234016418,-2183.906250000,-223.391143799,-340.617034912,-2155.964843750,
18,-190.080093384,-325.225616455,-2474.634521484,-195.111999512,-21.473381042,-2461.451416016,-318.925354004,-35.234119415,-2183.902343750,-223.393218994,-340.615814209,-2155.962646484,
19,-190.079681396,-325.224243164,-2474.631835938,-195.108108521,-21.474584579,-2461.448974609,-318.925964355,-35.233844757,-2183.900390625,-223.394424438,-340.616363525,-2155.968750000,
20,-190.075912476,-325.225524902,-2474.627685547,-195.103958130,-21.474147797,-2461.444335938,-318.924560547,-35.234531403,-2183.901855469,-223.393905640,-340.616882324,-2155.970703125,
21,-190.075912476,-325.224456787,-2474.628906250,-195.105621338,-21.475202560,-2461.451660156,-318.926696777,-35.236557007,-2183.907470703,-223.392318726,-340.616180420,-2155.970214844,
22,-190.072875977,-325.224182129,-2474.625244141,-195.108932495,-21.474020004,-2461.457031250,-318.924652100,-35.234878540,-2183.895263672,-223.392257690,-340.616851807,-2155.971191406,
23,-190.077789307,-325.225494385,-2474.641601563,-195.106018066,-21.474159241,-2461.445312500,-318.922027588,-35.237949371,-2183.885009766,-223.392257690,-340.618133545,-2155.973388672,
24,-190.075576782,-325.227630615,-2474.646972656,-195.105819702,-21.476490021,-2461.459716797,-318.920623779,-35.239147186,-2183.876464844,-223.391418457,-340.616271973,-2155.969970703,
25,-190.080032349,-325.226989746,-2474.639648438,-195.111968994,-21.474044800,-2461.465820313,-318.923858643,-35.240806580,-2183.868896484,-223.394607544,-340.615539551,-2155.970703125,
26,-190.082489014,-325.225067139,-2474.633789063,-195.108932495,-21.471179962,-2461.461669922,-318.922393799,-35.242069244,-2183.866699219,-223.393463135,-340.616027832,-2155.974365234,
27,-190.080856323,-325.225891113,-2474.621826172,-195.105575562,-21.473035812,-2461.466064453,-318.916992188,-35.244037628,-2183.849853516,-223.391784668,-340.615051270,-2155.969238281,
28,-190.077758789,-325.227081299,-2474.629150391,-195.105224609,-21.471382141,-2461.477539063,-318.914733887,-35.244781494,-2183.850097656,-223.391876221,-340.617431641,-2155.976074219,
29,-190.073150635,-325.227752686,-2474.634277344,-195.107284546,-21.472618103,-2461.474853516,-318.916290283,-35.245071411,-2183.854003906,-223.391555786,-340.616546631,-2155.980957031,
30,-190.069595337,-325.227874756,-2474.619873047,-195.102310181,-21.468990326,-2461.483886719,-318.910736084,-35.245620728,-2183.846679688,-223.389038086,-340.616241455,-2155.978271484,
31,-190.065826416,-325.228240967,-2474.620849609,-195.096130371,-21.468240738,-2461.484375000,-318.908111572,-35.246097565,-2183.837646484,-223.388488770,-340.617126465,-2155.983886719,
32,-190.068679810,-325.230560303,-2474.622070313,-195.099853516,-21.468208313,-2461.491699219,-318.909393311,-35.247245789,-2183.843505859,-223.390853882,-340.615325928,-2155.985107422,
33,-190.063568115,-325.226409912,-2474.605712891,-195.103790283,-21.468982697,-2461.489013672,-318.913726807,-35.246097565,-2183.850341797,-223.392822266,-340.614410400,-2156.000976563,
34,-190.070938110,-325.229705811,-2474.626708984,-195.101547241,-21.471033096,-2461.484619141,-318.917053223,-35.244415283,-2183.854736328,-223.395294189,-340.614410400,-2156.007080078,
35,-190.069198608,-325.228912354,-2474.612060547,-195.094924927,-21.471054077,-2461.482910156,-318.915679932,-35.242588043,-2183.860595703,-223.394104004,-340.614929199,-2156.013427734,
36,-190.065170288,-325.226959229,-2474.615966797,-195.100814819,-21.469732285,-2461.484375000,-318.915649414,-35.241966248,-2183.868652344,-223.392578125,-340.613311768,-2156.020751953,
37,-190.066253662,-325.224517822,-2474.612304688,-195.097976685,-21.472030640,-2461.470214844,-318.912231445,-35.242599487,-2183.866943359,-223.389801025,-340.613464355,-2156.018554688,
38,-190.066558838,-325.227081299,-2474.618652344,-195.094161987,-21.472488403,-2461.476562500,-318.911987305,-35.244785309,-2183.850830078,-223.392730713,-340.615142822,-2156.014892578,
39,-190.070724487,-325.226989746,-2474.604736328,-195.097152710,-21.473037720,-2461.462158203,-318.912475586,-35.244915009,-2183.841796875,-223.391693115,-340.614959717,-2156.003906250,
40,-190.069335938,-325.228485107,-2474.606689453,-195.105636597,-21.474205017,-2461.460937500,-318.918670654,-35.242393494,-2183.856201172,-223.392791748,-340.615051270,-2155.996337891,
41,-190.076629639,-325.224548340,-2474.612060547,-195.106567383,-21.475902557,-2461.452148438,-318.927093506,-35.238880157,-2183.881591797,-223.398056030,-340.616638184,-2155.983398438,
42,-190.077362061,-325.229553223,-2474.610107422,-195.103561401,-21.475069046,-2461.440429688,-318.930084229,-35.234981537,-2183.892089844,-223.395324707,-340.616485596,-2155.966552734,
43,-190.074630737,-325.227325439,-2474.618896484,-195.104858398,-21.475711823,-2461.448730469,-318.928710938,-35.232646942,-2183.899169922,-223.391342163,-340.616912842,-2155.949462891,
44,-190.069549561,-325.228363037,-2474.602294922,-195.102386475,-21.475509644,-2461.443847656,-318.926208496,-35.232593536,-2183.914306641,-223.387588501,-340.616821289,-2155.937744141,
