Subject ID: BG
Date and time: 08/09/2012 14:20:57

Block	Trial	Hand	Cube	Vis	RT	Time
1	1	right	4	visible	-1	08/09/2012 14:21:09
1	2	right	2	visible	Lifted hand (load)
1	2	right	2	visible	-1	08/09/2012 14:21:20
1	3	right	2	visible	-1	08/09/2012 14:21:29
1	4	right	1	visible	-1	08/09/2012 14:21:44
1	5	right	1	visible	-1	08/09/2012 14:21:54
1	6	right	1	visible	-1	08/09/2012 14:22:05
1	7	right	4	visible	-1	08/09/2012 14:22:24
1	8	right	2	visible	-1	08/09/2012 14:22:54
1	9	right	4	visible	-1	08/09/2012 14:23:04
1	10	right	2	visible	-1	08/09/2012 14:23:14
1	11	right	4	visible	-1	08/09/2012 14:23:29
1	12	right	1	visible	-1	08/09/2012 14:23:40
1	13	right	2	visible	-1	08/09/2012 14:23:50
1	14	right	4	visible	-1	08/09/2012 14:24:02
1	15	right	4	visible	-1	08/09/2012 14:24:11
1	16	right	1	visible	-1	08/09/2012 14:24:21
1	17	right	4	visible	-1	08/09/2012 14:24:30
1	18	right	2	visible	-1	08/09/2012 14:24:40
1	19	right	4	visible	-1	08/09/2012 14:24:52
1	20	right	1	visible	-1	08/09/2012 14:25:03
1	21	right	1	visible	-1	08/09/2012 14:25:13
1	22	right	2	visible	-1	08/09/2012 14:25:24
1	23	right	2	visible	-1	08/09/2012 14:25:36
1	24	right	1	visible	-1	08/09/2012 14:25:47
2	1	right	4	hidden	-1	08/09/2012 14:26:14
2	2	right	4	hidden	-1	08/09/2012 14:26:20
2	3	right	4	hidden	-1	08/09/2012 14:26:28
2	4	right	1	hidden	-1	08/09/2012 14:26:36
2	5	right	2	hidden	-1	08/09/2012 14:26:41
2	6	right	1	hidden	-1	08/09/2012 14:26:48
2	7	right	4	hidden	-1	08/09/2012 14:26:55
2	8	right	1	hidden	-1	08/09/2012 14:27:03
2	9	right	1	hidden	-1	08/09/2012 14:27:09
2	10	right	4	hidden	-1	08/09/2012 14:27:14
2	11	right	2	hidden	-1	08/09/2012 14:27:21
2	12	right	2	hidden	-1	08/09/2012 14:27:28
2	13	right	2	hidden	-1	08/09/2012 14:27:33
2	14	right	4	hidden	-1	08/09/2012 14:27:39
2	15	right	1	hidden	-1	08/09/2012 14:27:45
2	16	right	4	hidden	-1	08/09/2012 14:27:51
2	17	right	2	hidden	-1	08/09/2012 14:27:57
2	18	right	2	hidden	-1	08/09/2012 14:28:03
2	19	right	4	hidden	-1	08/09/2012 14:28:09
2	20	right	1	hidden	-1	08/09/2012 14:28:15
2	21	right	2	hidden	-1	08/09/2012 14:28:20
2	22	right	1	hidden	-1	08/09/2012 14:28:26
2	23	right	1	hidden	-1	08/09/2012 14:28:33
2	24	right	2	hidden	-1	08/09/2012 14:28:39
3	1	left	2	hidden	Lifted hand (view)
3	1	left	2	hidden	Lifted wrong hand (movement )
3	2	left	2	hidden	Lifted wrong hand (movement )
3	3	left	2	hidden	Lifted wrong hand (movement )
3	4	left	4	hidden	-1	08/09/2012 14:37:42
3	5	left	1	hidden	-1	08/09/2012 14:37:54
3	6	left	2	hidden	-1	08/09/2012 14:38:04
3	7	left	4	hidden	-1	08/09/2012 14:38:20
3	8	left	1	hidden	-1	08/09/2012 14:38:34
3	9	left	1	hidden	-1	08/09/2012 14:38:47
3	10	left	4	hidden	-1	08/09/2012 14:38:57
3	11	left	1	hidden	-1	08/09/2012 14:39:06
3	12	left	2	hidden	-1	08/09/2012 14:39:15
3	13	left	1	hidden	-1	08/09/2012 14:39:27
3	14	left	4	hidden	-1	08/09/2012 14:39:37
3	15	left	2	hidden	-1	08/09/2012 14:39:46
3	16	left	2	hidden	-1	08/09/2012 14:39:57
3	17	left	1	hidden	-1	08/09/2012 14:40:06
3	18	left	1	hidden	-1	08/09/2012 14:40:17
3	19	left	4	hidden	-1	08/09/2012 14:40:26
3	20	left	2	hidden	-1	08/09/2012 14:40:36
3	21	left	4	hidden	-1	08/09/2012 14:40:46
3	22	left	4	hidden	-1	08/09/2012 14:40:54
3	23	left	4	hidden	-1	08/09/2012 14:41:04
3	24	left	1	hidden	-1	08/09/2012 14:41:15
4	1	left	1	visible	-1	08/09/2012 14:41:53
4	2	left	1	visible	-1	08/09/2012 14:42:02
4	3	left	4	visible	-1	08/09/2012 14:42:08
4	4	left	1	visible	-1	08/09/2012 14:42:16
4	5	left	1	visible	-1	08/09/2012 14:42:23
4	6	left	2	visible	-1	08/09/2012 14:42:30
4	7	left	2	visible	-1	08/09/2012 14:42:38
4	8	left	2	visible	-1	08/09/2012 14:42:44
4	9	left	2	visible	-1	08/09/2012 14:42:50
4	10	left	2	visible	-1	08/09/2012 14:42:57
4	11	left	4	visible	-1	08/09/2012 14:43:04
4	12	left	2	visible	-1	08/09/2012 14:43:11
4	13	left	1	visible	-1	08/09/2012 14:43:17
4	14	left	2	visible	-1	08/09/2012 14:43:24
4	15	left	4	visible	-1	08/09/2012 14:43:30
4	16	left	4	visible	-1	08/09/2012 14:43:37
4	17	left	4	visible	-1	08/09/2012 14:43:44
4	18	left	4	visible	-1	08/09/2012 14:43:49
4	19	left	1	visible	-1	08/09/2012 14:43:56
4	20	left	4	visible	-1	08/09/2012 14:44:03
4	21	left	2	visible	-1	08/09/2012 14:44:10
4	22	left	1	visible	-1	08/09/2012 14:44:18
4	23	left	4	visible	-1	08/09/2012 14:44:24
4	24	left	1	visible	-1	08/09/2012 14:44:33
