Subject ID: CS
Date and time: 08/06/2012 12:13:19

Block	Trial	Hand	Cube	Vis	RT
1	1	right	1	visible	-1
1	2	right	2	visible	-1
1	3	right	2	visible	-1
1	4	right	1	visible	-1
1	5	right	4	visible	-1
1	6	right	4	visible	-1
1	7	right	2	visible	-1
1	8	right	4	visible	-1
1	9	right	1	visible	-1
1	10	right	4	visible	-1
1	11	right	1	visible	-1
1	12	right	2	visible	-1
1	13	right	1	visible	-1
1	14	right	4	visible	-1
1	15	right	1	visible	-1
1	16	right	2	visible	-1
1	17	right	4	visible	-1
1	18	right	1	visible	-1
1	19	right	4	visible	-1
1	20	right	2	visible	-1
1	21	right	2	visible	-1
1	22	right	1	visible	-1
1	23	right	4	visible	-1
1	24	right	2	visible	Lifted hand (load)
2	1	right	2	hidden	-1
2	2	right	1	hidden	-1
2	3	right	1	hidden	-1
2	4	right	4	hidden	-1
2	5	right	4	hidden	-1
2	6	right	1	hidden	-1
2	7	right	2	hidden	-1
2	8	right	2	hidden	-1
2	9	right	4	hidden	Lifted hand (load)
2	10	right	4	hidden	-1
2	11	right	2	hidden	-1
2	12	right	1	hidden	-1
2	13	right	2	hidden	-1
2	14	right	4	hidden	-1
2	15	right	1	hidden	-1
2	16	right	4	hidden	-1
2	17	right	1	hidden	-1
2	18	right	4	hidden	Lifted hand (load)
2	19	right	2	hidden	-1
2	20	right	1	hidden	-1
2	21	right	1	hidden	-1
2	22	right	2	hidden	-1
2	23	right	2	hidden	-1
2	24	right	4	hidden	-1
3	1	left	2	hidden	-1
3	2	left	2	hidden	-1
3	3	left	4	hidden	-1
3	4	left	4	hidden	-1
3	5	left	1	hidden	-1
3	6	left	1	hidden	-1
3	7	left	1	hidden	-1
3	8	left	1	hidden	-1
3	9	left	4	hidden	-1
3	10	left	2	hidden	-1
3	11	left	4	hidden	-1
3	12	left	4	hidden	Lifted hand (load)
3	13	left	2	hidden	-1
3	14	left	4	hidden	-1
3	15	left	1	hidden	-1
3	16	left	2	hidden	-1
3	17	left	2	hidden	-1
3	18	left	4	hidden	-1
3	19	left	2	hidden	-1
3	20	left	1	hidden	-1
3	21	left	1	hidden	-1
3	22	left	2	hidden	-1
3	23	left	1	hidden	-1
3	24	left	4	hidden	-1
4	1	left	2	visible	-1
4	2	left	2	visible	-1
4	3	left	2	visible	-1
4	4	left	4	visible	-1
4	5	left	2	visible	-1
4	6	left	4	visible	-1
4	7	left	4	visible	-1
4	8	left	2	visible	-1
4	9	left	1	visible	-1
4	10	left	2	visible	-1
4	11	left	4	visible	-1
4	12	left	4	visible	-1
4	13	left	1	visible	-1
4	14	left	2	visible	-1
4	15	left	1	visible	-1
4	16	left	1	visible	-1
4	17	left	1	visible	-1
4	18	left	4	visible	-1
4	19	left	4	visible	-1
4	20	left	4	visible	-1
4	21	left	1	visible	-1
4	22	left	1	visible	-1
4	23	left	1	visible	Lifted hand (load)
4	24	left	2	visible	-1
