Subject ID: JR2
Date and time: 08/10/2012 14:57:02

Block	Trial	Hand	Cube	Vis	RT	Time
1	1	right	1	visible	-1	08/10/2012 14:57:20
1	2	right	4	visible	-1	08/10/2012 14:57:37
1	3	right	1	visible	-1	08/10/2012 14:57:46
1	4	right	4	visible	-1	08/10/2012 14:57:53
1	5	right	1	visible	-1	08/10/2012 14:58:02
1	6	right	2	visible	-1	08/10/2012 14:58:08
1	7	right	1	visible	-1	08/10/2012 14:58:15
1	8	right	2	visible	-1	08/10/2012 14:58:21
1	9	right	4	visible	-1	08/10/2012 14:58:28
1	10	right	4	visible	-1	08/10/2012 14:58:35
1	11	right	2	visible	-1	08/10/2012 14:58:41
1	12	right	2	visible	-1	08/10/2012 14:58:47
2	1	right	4	hidden	-1	08/10/2012 14:59:09
2	2	right	2	hidden	-1	08/10/2012 14:59:23
2	3	right	1	hidden	-1	08/10/2012 14:59:32
2	4	right	4	hidden	-1	08/10/2012 14:59:40
2	5	right	1	hidden	-1	08/10/2012 14:59:49
2	6	right	1	hidden	-1	08/10/2012 14:59:58
2	7	right	2	hidden	-1	08/10/2012 15:00:05
2	8	right	4	hidden	-1	08/10/2012 15:00:14
2	9	right	4	hidden	-1	08/10/2012 15:00:28
2	10	right	1	hidden	-1	08/10/2012 15:00:38
2	11	right	2	hidden	-1	08/10/2012 15:00:48
2	12	right	2	hidden	-1	08/10/2012 15:00:57
