Subject ID: RW
Date and time: 04/13/2012 11:38:55

Block	Trial	Hand	Cube	RT
1	1	right	1	11715.5
1	2	right	1	21412.2
1	3	right	2	37911.9
1	4	right	4	48063.7
1	5	right	2	Lifted hand (view)
1	6	right	4	72515.3
1	7	right	1	87426.9
1	8	right	1	100465.7
1	9	right	4	125415.2
1	10	right	1	139174
1	11	right	4	151252.6
1	12	right	4	161353.5
1	13	right	2	172727.2
1	14	right	1	189151.9
1	15	right	2	201804.7
1	16	right	2	211968.5
1	17	right	4	224291.2
1	18	right	1	236706
1	19	right	2	248230.7
1	20	right	4	260353.5
1	21	right	1	276608.2
1	22	right	4	293281.9
1	23	right	2	304469.6
1	24	right	2	318450.4
2	1	right	4	481728.1
2	2	right	2	494449.8
2	3	right	4	538886
2	4	right	4	Lifted hand (load)
2	5	right	1	582761.1
2	6	right	2	601914.7
2	7	right	1	Lifted hand (load)
2	8	right	2	836800.1
2	9	right	1	849524.9
2	10	right	4	861366.6
2	11	right	1	900108.8
2	12	right	4	911784.6
2	13	right	2	923917.3
2	14	right	2	934681.2
2	15	right	1	945565
2	16	right	2	964641.6
2	17	right	4	975389.4
2	18	right	4	986228.2
2	19	right	4	996934.9
2	20	right	2	1008340.7
2	21	right	2	1019713.4
2	22	right	1	1029427.3
2	23	right	1	Lifted hand (view)
2	24	right	1	1058090.7
