Subject ID: 03
Date and time: 01/04/2013 13:19:30

Block	Trial	Hand	Cube	Vis	Pulse	RT	Time
1	1	right	1	hidden	Lifted hand (load)
1	1	right	1	hidden	1	1280	13:20:16
1	2	right	4	hidden	Lifted hand (load)
1	2	right	4	hidden	2	455	13:20:36
1	3	right	4	hidden	3	542	13:20:46
1	4	right	4	hidden	4	680	13:20:55
1	5	right	2	hidden	5	467	13:21:04
1	6	right	1	hidden	6	467	13:21:14
1	7	right	1	hidden	7	425	13:21:22
1	8	right	2	hidden	8	714	13:21:32
1	9	right	2	hidden	9	416	13:21:45
1	10	right	2	hidden	10	376	13:21:54
1	11	right	2	hidden	11	392	13:22:03
1	12	right	1	hidden	12	440	13:22:13
1	13	right	4	hidden	Lifted hand (load)
1	13	right	4	hidden	Lifted hand (load)
1	13	right	4	hidden	Lifted hand (load)
1	13	right	4	hidden	Lifted hand (load)
1	13	right	4	hidden	Lifted hand (load)
1	13	right	4	hidden	13	392	13:22:28
1	14	right	1	hidden	Lifted hand (load)
1	14	right	1	hidden	14	379	13:22:36
1	15	right	2	hidden	15	484	13:22:46
1	16	right	4	hidden	16	547	13:22:55
1	17	right	1	hidden	17	579	13:23:05
1	18	right	4	hidden	18	493	13:23:14
1	19	right	1	hidden	19	495	13:23:23
1	20	right	4	hidden	20	548	13:23:32
1	21	right	1	hidden	21	576	13:23:43
1	22	right	2	hidden	22	482	13:23:51
1	23	right	4	hidden	23	515	13:24:00
1	24	right	2	hidden	Lifted hand (load)
1	24	right	2	hidden	24	424	13:24:09
2	1	right	2	visible	25	361	13:25:01
2	2	right	1	visible	26	351	13:25:07
2	3	right	1	visible	27	341	13:25:15
2	4	right	2	visible	28	278	13:25:21
2	5	right	4	visible	29	375	13:25:27
2	6	right	2	visible	30	339	13:25:36
2	7	right	4	visible	31	354	13:25:42
2	8	right	1	visible	32	322	13:25:49
2	9	right	2	visible	33	339	13:25:55
2	10	right	4	visible	34	328	13:26:02
2	11	right	2	visible	35	344	13:26:08
2	12	right	4	visible	36	481	13:26:13
2	13	right	1	visible	37	400	13:26:20
2	14	right	4	visible	38	394	13:26:26
2	15	right	2	visible	39	436	13:26:33
2	16	right	2	visible	40	327	13:26:38
2	17	right	1	visible	41	331	13:26:45
2	18	right	1	visible	42	319	13:26:51
2	19	right	4	visible	43	398	13:26:57
2	20	right	4	visible	44	316	13:27:03
2	21	right	1	visible	45	356	13:27:09
2	22	right	1	visible	46	377	13:27:15
2	23	right	2	visible	47	367	13:27:22
2	24	right	4	visible	48	425	13:27:28
3	1	left	1	visible	49	440	13:37:44
3	2	left	4	visible	50	425	13:37:50
3	3	left	1	visible	51	413	13:37:59
3	4	left	4	visible	52	418	13:38:05
3	5	left	2	visible	53	315	13:38:11
3	6	left	1	visible	54	Lifted wrong hand (movement )
3	6	left	1	visible	Lifted hand (load)
