Subject ID: test130806
Date and time: 08/06/2013 11:35:55

Block	Trial	Hand	Cube	Vis	Pulse	RT	Time
1	1	right	1	hidden	Lifted hand (view)
1	1	right	1	hidden	Lifted hand (load)
1	1	right	1	hidden	1	800	11:38:08
1	2	right	4	hidden	2	965	11:38:23
1	3	right	2	hidden	3	789	11:38:37
1	4	right	2	hidden	4	536	11:38:49
1	5	right	2	hidden	5	682	11:39:00
1	6	right	4	hidden	Lifted hand (load)
1	6	right	4	hidden	6	706	11:39:23
1	7	right	1	hidden	7	791	11:39:37
1	8	right	1	hidden	8	596	11:39:53
1	9	right	4	hidden	9	573	11:40:04
1	10	right	4	hidden	10	712	11:40:15
1	11	right	4	hidden	11	574	11:40:26
1	12	right	4	hidden	12	637	11:40:38
1	13	right	2	hidden	13	711	11:40:50
1	14	right	1	hidden	14	640	11:41:02
1	15	right	1	hidden	15	584	11:41:13
1	16	right	2	hidden	16	684	11:41:27
1	17	right	2	hidden	17	563	11:41:39
1	18	right	1	hidden	18	677	11:41:53
1	19	right	4	hidden	19	572	11:42:12
1	20	right	4	hidden	20	693	11:42:22
1	21	right	2	hidden	21	798	11:42:32
1	22	right	1	hidden	22	597	11:42:44
1	23	right	2	hidden	23	661	11:42:55
1	24	right	1	hidden	24	781	11:43:05
2	1	right	1	visible	25	832	11:43:41
2	2	right	2	visible	26	617	11:43:48
2	3	right	2	visible	27	560	11:43:57
2	4	right	4	visible	28	477	11:44:04
2	5	right	2	visible	29	401	11:44:12
2	6	right	4	visible	30	457	11:44:20
2	7	right	1	visible	31	461	11:44:28
2	8	right	2	visible	32	506	11:44:37
2	9	right	1	visible	33	435	11:44:45
2	10	right	4	visible	34	481	11:44:52
2	11	right	1	visible	Lifted hand (load)
2	11	right	1	visible	35	666	11:45:18
2	12	right	2	visible	36	462	11:45:24
2	13	right	1	visible	37	526	11:45:32
2	14	right	2	visible	38	457	11:45:39
2	15	right	1	visible	39	474	11:45:46
2	16	right	1	visible	40	394	11:45:54
2	17	right	2	visible	41	420	11:46:01
2	18	right	1	visible	42	537	11:46:11
2	19	right	4	visible	43	448	11:46:18
2	20	right	2	visible	Lifted hand (load)
2	20	right	2	visible	Lifted hand (load)
2	20	right	2	visible	44	541	11:46:26
2	21	right	4	visible	45	425	11:46:34
2	22	right	4	visible	46	519	11:46:42
2	23	right	4	visible	47	795	11:46:49
2	24	right	4	visible	48	546	11:46:55
3	1	left	2	visible	49	1112	11:54:02
3	2	left	1	visible	50	526	11:54:13
3	3	left	2	visible	51	617	11:54:22
3	4	left	2	visible	52	510	11:54:30
3	5	left	4	visible	53	524	11:54:38
3	6	left	2	visible	54	539	11:54:46
3	7	left	1	visible	55	457	11:54:56
3	8	left	1	visible	56	478	11:55:04
3	9	left	4	visible	57	617	11:55:13
3	10	left	4	visible	58	416	11:55:20
3	11	left	4	visible	59	464	11:55:28
3	12	left	2	visible	60	536	11:55:35
3	13	left	4	visible	61	383	11:55:42
3	14	left	1	visible	62	477	11:55:52
3	15	left	1	visible	63	434	11:56:00
3	16	left	4	visible	64	452	11:56:08
3	17	left	4	visible	65	385	11:56:15
3	18	left	1	visible	66	416	11:56:24
3	19	left	4	visible	67	349	11:56:31
3	20	left	2	visible	68	439	11:56:39
3	21	left	1	visible	69	365	11:56:47
3	22	left	2	visible	70	378	11:56:54
3	23	left	1	visible	71	478	11:57:02
3	24	left	2	visible	72	521	11:57:10
4	1	left	2	hidden	73	682	11:57:53
4	2	left	4	hidden	74	567	11:58:04
4	3	left	4	hidden	75	515	11:58:14
4	4	left	2	hidden	76	5	11:58:24
4	5	left	2	hidden	77	710	11:58:36
4	6	left	4	hidden	78	426	11:58:48
4	7	left	2	hidden	79	6708	11:58:59
4	8	left	4	hidden	80	531	11:59:10
4	9	left	1	hidden	81	518	11:59:21
4	10	left	1	hidden	82	549	11:59:32
4	11	left	4	hidden	83	3322	11:59:46
4	12	left	2	hidden	84	367	11:59:57
4	13	left	4	hidden	85	Lifted wrong hand (movement )
4	13	left	4	hidden	86	545	12:00:23
4	14	left	1	hidden	87	542	12:00:36
4	15	left	1	hidden	88	504	12:00:49
4	16	left	1	hidden	Lifted hand (load)
4	16	left	1	hidden	89	669	12:01:11
4	17	left	1	hidden	90	496	12:01:23
4	18	left	4	hidden	91	546	12:01:34
4	19	left	1	hidden	92	606	12:01:44
4	20	left	4	hidden	93	582	12:02:00
4	21	left	2	hidden	94	553	12:02:12
4	22	left	2	hidden	95	866	12:02:23
4	23	left	2	hidden	96	449	12:02:33
4	24	left	1	hidden	97	737	12:02:45
