Subject ID: 121004_CS
Date and time: 10/04/2012 15:53:39

Block	Trial	Hand	Cube	Vis	RT	Time
1	1	right	2	visible	-1	10/04/2012 15:53:53
1	2	right	1	visible	-1	10/04/2012 15:54:07
1	3	right	4	visible	-1	10/04/2012 15:54:22
1	4	right	4	visible	-1	10/04/2012 15:54:46
1	5	right	4	visible	-1	10/04/2012 15:54:55
1	6	right	2	visible	-1	10/04/2012 15:55:05
1	7	right	2	visible	-1	10/04/2012 15:55:14
1	8	right	4	visible	-1	10/04/2012 15:55:22
1	9	right	4	visible	-1	10/04/2012 15:55:32
1	10	right	1	visible	-1	10/04/2012 15:55:44
1	11	right	4	visible	-1	10/04/2012 15:55:59
1	12	right	1	visible	-1	10/04/2012 15:56:07
1	13	right	4	visible	-1	10/04/2012 15:56:18
1	14	right	1	visible	-1	10/04/2012 15:56:25
1	15	right	1	visible	-1	10/04/2012 15:56:32
1	16	right	1	visible	-1	10/04/2012 15:56:43
1	17	right	2	visible	-1	10/04/2012 15:56:50
1	18	right	2	visible	-1	10/04/2012 15:56:59
1	19	right	2	visible	-1	10/04/2012 15:57:08
1	20	right	4	visible	-1	10/04/2012 15:57:19
1	21	right	2	visible	-1	10/04/2012 15:57:28
1	22	right	1	visible	-1	10/04/2012 15:57:37
1	23	right	2	visible	-1	10/04/2012 15:57:45
1	24	right	1	visible	-1	10/04/2012 15:57:54
2	1	right	2	hidden	-1	10/04/2012 15:58:31
2	2	right	1	hidden	-1	10/04/2012 15:58:48
2	3	right	2	hidden	-1	10/04/2012 15:59:03
2	4	right	1	hidden	-1	10/04/2012 15:59:16
2	5	right	4	hidden	-1	10/04/2012 15:59:33
2	6	right	4	hidden	-1	10/04/2012 15:59:49
2	7	right	4	hidden	-1	10/04/2012 16:00:03
2	8	right	2	hidden	-1	10/04/2012 16:00:15
2	9	right	1	hidden	-1	10/04/2012 16:00:30
2	10	right	2	hidden	-1	10/04/2012 16:00:43
2	11	right	1	hidden	-1	10/04/2012 16:00:57
2	12	right	4	hidden	-1	10/04/2012 16:01:09
2	13	right	1	hidden	-1	10/04/2012 16:01:22
2	14	right	4	hidden	-1	10/04/2012 16:01:36
2	15	right	2	hidden	-1	10/04/2012 16:01:48
2	16	right	4	hidden	-1	10/04/2012 16:02:00
2	17	right	2	hidden	-1	10/04/2012 16:02:25
2	18	right	2	hidden	-1	10/04/2012 16:02:38
2	19	right	2	hidden	-1	10/04/2012 16:03:01
2	20	right	1	hidden	-1	10/04/2012 16:03:14
2	21	right	4	hidden	-1	10/04/2012 16:03:29
2	22	right	4	hidden	-1	10/04/2012 16:03:41
2	23	right	1	hidden	-1	10/04/2012 16:03:53
2	24	right	1	hidden	-1	10/04/2012 16:04:05
3	1	left	2	hidden	-1	10/04/2012 16:15:12
3	2	left	4	hidden	-1	10/04/2012 16:15:36
3	3	left	1	hidden	-1	10/04/2012 16:15:50
3	4	left	2	hidden	-1	10/04/2012 16:16:21
3	5	left	4	hidden	-1	10/04/2012 16:16:34
3	6	left	2	hidden	-1	10/04/2012 16:16:47
3	7	left	1	hidden	-1	10/04/2012 16:17:01
3	8	left	4	hidden	-1	10/04/2012 16:17:13
3	9	left	2	hidden	-1	10/04/2012 16:17:23
3	10	left	1	hidden	-1	10/04/2012 16:17:36
3	11	left	1	hidden	-1	10/04/2012 16:17:47
3	12	left	2	hidden	-1	10/04/2012 16:17:58
3	13	left	4	hidden	-1	10/04/2012 16:18:10
3	14	left	4	hidden	-1	10/04/2012 16:18:22
3	15	left	4	hidden	-1	10/04/2012 16:18:36
3	16	left	2	hidden	-1	10/04/2012 16:18:47
3	17	left	4	hidden	-1	10/04/2012 16:18:59
3	18	left	1	hidden	-1	10/04/2012 16:19:11
3	19	left	2	hidden	-1	10/04/2012 16:19:22
3	20	left	1	hidden	-1	10/04/2012 16:19:37
3	21	left	2	hidden	-1	10/04/2012 16:19:48
3	22	left	1	hidden	-1	10/04/2012 16:20:00
3	23	left	1	hidden	-1	10/04/2012 16:20:12
3	24	left	4	hidden	-1	10/04/2012 16:20:25
4	1	left	2	visible	-1	10/04/2012 16:21:01
4	2	left	1	visible	-1	10/04/2012 16:21:10
4	3	left	2	visible	-1	10/04/2012 16:21:18
4	4	left	2	visible	-1	10/04/2012 16:21:26
4	5	left	4	visible	-1	10/04/2012 16:21:38
4	6	left	1	visible	-1	10/04/2012 16:21:48
4	7	left	1	visible	-1	10/04/2012 16:21:57
4	8	left	2	visible	-1	10/04/2012 16:22:11
4	9	left	2	visible	-1	10/04/2012 16:22:19
4	10	left	4	visible	-1	10/04/2012 16:22:28
4	11	left	4	visible	-1	10/04/2012 16:22:37
4	12	left	1	visible	-1	10/04/2012 16:22:48
4	13	left	4	visible	-1	10/04/2012 16:22:56
4	14	left	2	visible	-1	10/04/2012 16:23:05
4	15	left	2	visible	-1	10/04/2012 16:23:14
4	16	left	1	visible	-1	10/04/2012 16:23:24
4	17	left	4	visible	-1	10/04/2012 16:23:33
4	18	left	1	visible	-1	10/04/2012 16:23:43
4	19	left	4	visible	-1	10/04/2012 16:23:53
4	20	left	1	visible	-1	10/04/2012 16:24:03
4	21	left	4	visible	-1	10/04/2012 16:24:11
4	22	left	4	visible	-1	10/04/2012 16:24:19
4	23	left	2	visible	-1	10/04/2012 16:24:28
4	24	left	1	visible	-1	10/04/2012 16:24:37
